《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1240》,《暦日0》,六／,ひのとのい,あやふ,,　,●
《1250》,《暦日2》,七／,つちのえね,なる,火,　,母倉 きこ ふく日
《1260》,《暦日0》,八／,つちのとのうし,おさん,,　,十し
《1270》,《暦日2》,九／,かのえとら,ひらく,木,八十八や,ちいみ  いちたち  つめとりよし
《1280》,《暦日0》,十／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1290》,《暦日2》,十一／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1300》,《暦日0》,十二／,みつのとのみ,たつ,,天一天上,●
《1310》,《節中》,立夏四月せつ夜四時六分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1320》,《暦日2》,十三／,きのえむま,のそく,金,　,天しや よろつよし
《1330》,《暦日0》,十四／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1340》,《暦日2》,十五／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1350》,《暦日0》,十六／,ひのとのとり,さたん,,　,十し
《1360》,《暦日2》,十七／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1370》,《暦日0》,十八／,つちのとのい,やふる,,　,くゑ日 ちう日
《1380》,《暦日2》,十九／,かのえね,あやふ,土,　,月とく わうまう  わたまし たねまきよし
《1390》,《暦日0》,廿／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1400》,《暦日2》,廿一／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1410》,《暦日0》,廿二／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1420》,《暦日2》,廿三／,きのえたつ,とつ,火,　,大みやう
《1430》,《暦日0》,廿四／,きのとのみ,たつ,,　,●
《1440》,《暦日2》,廿五／,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
《1450》,《暦日0》,廿六／,ひのとのひつし,みつ,,　,くゑ日
《1460》,《暦日2》,廿七／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1470》,《暦日0》,廿八／,つちのとのとり,さたん,,　,十し
《1480》,《節中》,小満四月中昼九時三分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1490》,《暦日1》,廿九／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1500》,《月序》,五月,大,建,丙午,參宿　女　土よう
《1510》,《暦日1》,一／,かのとのい,やふる,金,　,神よし 大みやう 天おん ちう日  さひらきよし
《1520》,《暦日2》,二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1530》,《暦日0》,三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1540》,《暦日2》,四／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1550》,《暦日0》,五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1560》,《暦日2》,六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1570》,《暦日0》,七／,ひのとのみ,たつ,,　,●
《1580》,《暦日2》,八／,つちのえむま,のそく,火,ま日,くゑ日
《1590》,《暦日0》,九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1600》,《暦日2》,十／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1610》,《暦日0》,十一／,かのとのとり,さたん,,　,十し
《1620》,《暦日2》,十二／,みつのえいぬ,とる,水,ま日,ふく日
《1630》,《暦日0》,十三／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1640》,《暦日2》,十四／,きのえね,あやふ,金,　,きしく 天おん
《1650》,《暦日0》,十五／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1660》,《節中》,芒種五月せつ明六時一分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1670》,《暦日2》,十六／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1680》,《暦日0》,十七／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1690》,《暦日2》,十八／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1700》,《暦日0》,十九／,つちのとのみ,とつ,,　,十し
《1710》,《暦日2》,廿／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1720》,《暦日0》,廿一／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1730》,《暦日2》,廿二／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1740》,《暦日0》,廿三／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1750》,《暦日2》,廿四／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1760》,《暦日0》,廿五／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1770》,《暦日2》,廿六／,ひのえね,やふる,水,　,●
《1780》,《暦日0》,廿七／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1790》,《暦日2》,廿八／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1800》,《暦日0》,廿九／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1810》,《暦日1》,卅／,かのえたつ,ひらく,金,　,天おん わうまう  けんふく かといてよし
《1820》,《節中》,夏至五月中夜五時一分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1830》,《月序》,閏五月,小,隨節用之,危　月よう
《1840》,《暦日1》,一／,かのとのみ,とつ,金,　,十し
《1850》,《暦日2》,二／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1860》,《暦日0》,三／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1870》,《暦日2》,四／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1880》,《暦日0》,五／,きのとのとり,たいら,,　,神よし めつもん 地火
《1890》,《暦日2》,六／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1900》,《暦日0》,七／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1910》,《暦日2》,八／,つちのえね,やふる,火,　,●
《1920》,《暦日0》,九／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1930》,《暦日2》,十／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1940》,《暦日0》,十一／,かのとのう,おさん,,はんけしやう,母倉 月とく ちいみ 大くわ  ものたちよし
《1950》,《暦日2》,十二／,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
