《1771-0000》,# カンマ区切りテキスト形式です。
《1771-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1771-0020》,# ・表の区画内での改行は“/”で表記します。
《1771-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1771-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1771-0050》,# 外部リンク
《1771-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/125 ～ 129
《1771-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1771g　(GitHub上データを表成型)
《1771-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1771h　(翻刻編集データを表成型 - 未実装)
《1771-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1771-0100》,《版元》,出版地○○,出版元□□□,　
《1771-1180》,《暦日1》,廿九／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1771-1190》,《月序》,四月,大,建,癸巳,柳宿　尾　火よう
《1771-1200》,《暦日1》,一／,かのとのひつし,みつ,土,　,大みやう くゑ日 わうまう
《1771-1210》,《暦日2》,二／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1771-1220》,《暦日0》,三／,みつのとのとり,さたん,,　,十し
《1771-1230》,《暦日2》,四／,きのえいぬ,とる,火,　, やたて くらたてよし
《1771-1240》,《暦日0》,五／,きのとのい,やふる,,　,月とく ちう日
《1771-1250》,《暦日2》,六／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1771-1260》,《暦日0》,七／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1771-1270》,《暦日2》,八／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1771-1280》,《暦日0》,九／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1771-1290》,《節中》,小満四月中今夜ねの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1771-1300》,《暦日2》,十／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1771-1310》,《暦日0》,十一／,かのとのみ,たつ,,　,●
《1771-1320》,《暦日2》,十二／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1771-1330》,《暦日0》,十三／,みつのとのひつし,みつ,,　,くゑ日
《1771-1340》,《暦日2》,十四／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1771-1350》,《暦日0》,十五／,きのとのとり,さたん,,　,十し
《1771-1360》,《暦日2》,十六／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1771-1370》,《暦日0》,十七／,ひのとのい,やふる,,　,大みやう ちう日
《1771-1380》,《暦日2》,十八／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1771-1390》,《暦日0》,十九／,つちのとのうし,なる,,　,きこ  つめとりよし
《1771-1400》,《暦日2》,廿／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1771-1410》,《暦日0》,廿一／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1771-1420》,《暦日2》,廿二／,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
《1771-1430》,《暦日0》,廿三／,みつのとのみ,たつ,,天一天上,●
《1771-1440》,《暦日2》,廿四／,きのえむま,のそく,金,　,天しや よろつよし
《1771-1450》,《暦日0》,廿五／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1771-1460》,《節中》,芒種五月せつ今暁とらの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1771-1470》,《暦日2》,廿六／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1771-1480》,《暦日0》,廿七／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1771-1490》,《暦日2》,廿八／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1771-1500》,《暦日0》,廿九／,つちのとのい,とる,,　,神よし ちう日
《1771-1510》,《暦日1》,卅／,かのえね,やふる,土,　,●
《1771-1520》,《月序》,五月,小,建,甲午,星宿　斗　木よう
《1771-1530》,《暦日1》,一／,かのとのうし,あやふ,土,　,神よし 月とく 五む日  つめとりよし
《1771-1540》,《暦日2》,二／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1771-1550》,《暦日0》,三／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1771-1560》,《暦日2》,四／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1771-1570》,《暦日0》,五／,きのとのみ,とつ,,　,十し
《1771-1580》,《暦日2》,六／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1771-1590》,《暦日0》,七／,ひのとのひつし,のそく,,　,神よし ふく日
《1771-1600》,《暦日2》,八／,つちのえさる,みつ,土,　,神よし  入学よし
《1771-1610》,《暦日0》,九／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1771-1620》,《暦日1》,十／,かのえいぬ,さたん,金,　,大みやう 天おん わうまう  かといてよし
《1771-1630》,《節中》,夏至五月中みの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1771-1640》,《暦日1》,十一／,かのとのい,とる,金,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1771-1650》,《暦日2》,十二／,みつのえね,やふる,木,八せんのはしめ,●
《1771-1660》,《暦日0》,十三／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1771-1670》,《暦日2》,十四／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1771-1680》,《暦日0》,十五／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1771-1690》,《暦日2》,十六／,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
《1771-1700》,《暦日0》,十七／,ひのとのみ,とつ,,　,十し
《1771-1710》,《暦日2》,十八／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1771-1720》,《暦日0》,十九／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1771-1730》,《暦日2》,廿／,かのえさる,みつ,木,はんけしやう,神よし 大みやう  入学 むきかりよし
《1771-1740》,《暦日0》,廿一／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1771-1750》,《暦日2》,廿二／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1771-1760》,《暦日0》,廿三／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1771-1770》,《暦日2》,廿四／,きのえね,やふる,金,　,●
《1771-1780》,《暦日0》,廿五／,きのとのうし,やふる,,　,十し
《1771-1790》,《節中》,小暑六月せつさるの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1771-1800》,《暦日2》,廿六／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1771-1810》,《暦日0》,廿七／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1771-1820》,《暦日2》,廿八／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1771-1830》,《暦日0》,廿九／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1771-1840》,《月序》,六月,大,建,乙未,張宿　牛　金よう
《1771-1850》,《暦日2》,一／,かのえむま,とつ,土,初伏,●
《1771-1860》,《暦日0》,二／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1771-1870》,《暦日2》,三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1771-1880》,《暦日0》,四／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1771-1890》,《暦日2》,五／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1771-1900》,《暦日0》,六／,きのとのい,さたん,,　,ちう日
《1771-1910》,《暦日2》,七／,ひのえね,とる,水,　,きこ 下しきたつの時
《1771-1920》,《暦日0》,八／,ひのとのうし,やふる,,とよういぬの一刻ニ入,十し
《1771-1930》,《暦日2》,九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1771-1940》,《暦日0》,十／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1771-1950》,《暦日1》,十一／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《1771-1960》,《節中》,大暑六月中いぬの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1771-1970》,《暦日1》,十二／,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
《1771-1980》,《暦日2》,十三／,みつのえむま,とつ,木,　,●
《1771-1990》,《暦日0》,十四／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1771-2000》,《暦日2》,十五／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
《1771-2010》,《暦日0》,十六／,きのとのとり,みつ,,　,神よし ちいみ
《1771-2020》,《暦日2》,十七／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1771-2030》,《暦日0》,十八／,ひのとのい,さたん,,　,大みやう ちう日
《1771-2040》,《暦日2》,十九／,つちのえね,とる,火,　,きこ ふく日 わうまう 下しきたつの時
《1771-2050》,《暦日0》,廿／,つちのとのうし,やふる,,　,十し
《1771-2060》,《暦日2》,廿一／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1771-2070》,《暦日0》,廿二／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1771-2080》,《暦日2》,廿三／,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
《1771-2090》,《暦日0》,廿四／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1771-2100》,《暦日2》,廿五／,きのえむま,とつ,金,　,●
《1771-2110》,《暦日0》,廿六／,きのとのひつし,たつ,,　,大みやう 五む日
《1771-2120》,《暦日1》,廿七／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1771-2130》,《節中》,立秋七月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1771-2140》,《暦日1》,廿八／,ひのとのとり,のそく,火,　,十し
《1771-2150》,《暦日2》,廿九／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1771-2160》,《暦日0》,卅／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1771-2170》,《月序》,七月,小,建,丙申,翼宿　虛　日よう
《1771-2180》,《暦日2》,一／,かのえね,さたん,土,末伏,神よし ふく日
《1771-2190》,《暦日0》,二／,かのとのうし,とる,,　,●
《1771-2200》,《暦日2》,三／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1771-2210》,《暦日0》,四／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1771-2220》,《暦日2》,五／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日 わうまう
《1771-2230》,《暦日0》,六／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1771-2240》,《暦日2》,七／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1771-2250》,《暦日0》,八／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1771-2260》,《暦日2》,九／,つちのえさる,たつ,土,　,天しや よろつよし
《1771-2270》,《暦日0》,十／,つちのとのとり,のそく,,　,十し
《1771-2280》,《暦日2》,十一／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1771-2290》,《暦日0》,十二／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1771-2300》,《節中》,処暑七月中うの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1771-2310》,《暦日2》,十三／,みつのえね,さたん,木,八せんのはしめ,神よし きしく 天おん 月とく  くらたてよし
《1771-2320》,《暦日0》,十四／,みつのとのうし,とる,,ま日,●
《1771-2330》,《暦日2》,十五／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1771-2340》,《暦日0》,十六／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1771-2350》,《暦日2》,十七／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1771-2360》,《暦日0》,十八／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1771-2370》,《暦日2》,十九／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1771-2380》,《暦日0》,廿／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1771-2390》,《暦日2》,廿一／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1771-2400》,《暦日0》,廿二／,かのとのとり,のそく,,　,十し
《1771-2410》,《暦日2》,廿三／,みつのえいぬ,みつ,水,二百十日/ま日,母倉 月とく
《1771-2420》,《暦日0》,廿四／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1771-2430》,《暦日2》,廿五／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1771-2440》,《暦日0》,廿六／,きのとのうし,とる,,　,●
《1771-2450》,《暦日1》,廿七／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《1771-2460》,《節中》,白露八月せつむまの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1771-2470》,《暦日1》,廿八／,ひのとのう,やふる,火,　,天おん  田かりよし
《1771-2480》,《暦日1》,廿九／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1771-2490》,《月序》,八月,小,建,丁酉,軫宿　危　月よう
《1771-2500》,《暦日1》,一／,つちのとのみ,なる,木,　,十し
《1771-2510》,《暦日2》,二／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1771-2520》,《暦日0》,三／,かのとのひつし,ひらく,,　,●
《1771-2530》,《暦日2》,四／,みつのえさる,とつ,金,二百廿日,神よし 大みやう
《1771-2540》,《暦日0》,五／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1771-2550》,《暦日2》,六／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1771-2560》,《暦日0》,七／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1771-2570》,《暦日2》,八／,ひのえね,たいら,水,　,大くわ 地火
《1771-2580》,《暦日0》,九／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1771-2590》,《暦日2》,十／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《1771-2600》,《暦日0》,十一／,つちのとのう,やふる,,　,大みやう 天おん
《1771-2610》,《暦日2》,十二／,かのえたつ,あやふ,金,ひかんニなる,きしく 天おん 母倉 月とく
《1771-2620》,《暦日0》,十三／,かのとのみ,なる,,　,十し
《1771-2630》,《節中》,秋分八月中とりの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
