«1823-0000»,【 カンマ区切りテキスト形式です。】
«1823-2340»,«節中»,処暑七月中いの三刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1823-2350»,«暦日2»,十八〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1823-2360»,«暦日0»,十九〳,きのとのとり,のそく,,　,十し
«1823-2370»,«暦日2»,廿〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1823-2380»,«暦日0»,廿一〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1823-2390»,«暦日2»,廿二〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1823-2400»,«暦日0»,廿三〳,つちのとのうし,とる,,　,●
«1823-2410»,«暦日2»,廿四〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1823-2420»,«暦日0»,廿五〳,かのとのう,あやふ,,　,神よし
«1823-2430»,«暦日2»,廿六〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1823-2440»,«暦日0»,廿七〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1823-2450»,«暦日2»,廿八〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1823-2460»,«暦日0»,廿九〳,きのとのひつし,とつ,,二百十日,大みやう 母倉 五む日
«1823-2470»,«暦日1»,卅〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1823-2480»,«月序»,八月,小,建,辛酉,斗宿　婁　金よう
«1823-2490»,«暦日1»,一〳,ひのとのとり,のそく,火,　,十し
«1823-2500»,«暦日2»,二〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1823-2510»,«暦日0»,三〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1823-2520»,«節中»,白露八月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1823-2530»,«暦日2»,四〳,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
«1823-2540»,«暦日0»,五〳,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
«1823-2550»,«暦日2»,六〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1823-2560»,«暦日0»,七〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1823-2570»,«暦日2»,八〳,きのえたつ,あやふ,火,　,きしく 大みやう 母倉  けんふく わたましよし
«1823-2580»,«暦日0»,九〳,きのとのみ,なる,,二百廿日,十し
«1823-2590»,«暦日2»,十〳,ひのえむま,おさん,水,　,大みやう めつもん
«1823-2600»,«暦日0»,十一〳,ひのとのひつし,ひらく,,　,●
«1823-2610»,«暦日2»,十二〳,つちのえさる,とつ,土,　,天しや よろつよし
«1823-2620»,«暦日0»,十三〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1823-2630»,«暦日2»,十四〳,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
«1823-2640»,«暦日0»,十五〳,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
«1823-2650»,«暦日2»,十六〳,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
«1823-2660»,«暦日0»,十七〳,みつのとのうし,さたん,,ま日|ひかんニなる,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1823-2670»,«暦日1»,十八〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1823-2680»,«節中»,秋分八月中たつの五刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1823-2690»,«暦日1»,十九〳,きのとのう,やふる,水,　,くゑ日 ふく日
«1823-2700»,«暦日2»,廿〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉 わうまう
«1823-2710»,«暦日0»,廿一〳,ひのとのみ,なる,,　,十し
«1823-2720»,«暦日2»,廿二〳,つちのえむま,おさん,火,ま日|社日,めつもん
«1823-2730»,«暦日0»,廿三〳,つちのとのひつし,ひらく,,　,●
«1823-2740»,«暦日2»,廿四〳,かのえさる,とつ,木,　,さい下しき 神よし 大みやう 月とく  入学よし
«1823-2750»,«暦日0»,廿五〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
