«1756-0000»,【 カンマ区切りテキスト形式です。】
«1756-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1756-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1756-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1756-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1756-0050»,【 外部リンク　】
«1756-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/53 ～ 58】
«1756-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1756h　(翻刻編集終了データを表成型して表示します)】
«1756-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1756ht (翻刻編集中データを表成型して表示します)】
«1756-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1756-0100»,«版元»,出版地○○,出版元□□□,　
«1756-0690»,«暦日0»,十三〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1756-0700»,«暦日2»,十四〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1756-0710»,«暦日0»,十五〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1756-0720»,«暦日2»,十六〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1756-0730»,«暦日0»,十七〳,きのとのう,たつ,,ひかんニなる,くゑ日 ふく日 天火 らうしやく
«1756-0740»,«暦日2»,十八〳,ひのえたつ,のそく,土,ま日,●
«1756-0750»,«暦日0»,十九〳,ひのとのみ,みつ,,　,十し
«1756-0760»,«暦日2»,廿〳,つちのえむま,たいら,火,ま日|社日,大くわ 地火 わうまう
«1756-0770»,«暦日0»,廿一〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1756-0780»,«暦日1»,廿二〳,かのえさる,とる,木,　,神よし 大みやう
«1756-0790»,«節中»,春分二月中たつの四刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1756-0800»,«暦日1»,廿三〳,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
«1756-0810»,«暦日2»,廿四〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1756-0820»,«暦日0»,廿五〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1756-0830»,«暦日2»,廿六〳,きのえね,おさん,金,　,きしく 天おん 母倉 月とく めつもん
«1756-0840»,«暦日0»,廿七〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1756-0850»,«暦日2»,廿八〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1756-0860»,«暦日0»,廿九〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1756-0870»,«暦日1»,卅〳,つちのえたつ,のそく,木,　,●
«1756-0880»,«月序»,三月,小,建,壬辰,虛宿　軫　水よう
«1756-0890»,«暦日1»,一〳,つちのとのみ,みつ,木,　,十し
«1756-0900»,«暦日2»,二〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1756-0910»,«暦日0»,三〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1756-0920»,«暦日2»,四〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1756-0930»,«暦日0»,五〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1756-0940»,«暦日2»,六〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1756-0950»,«暦日0»,七〳,きのとのい,あやふ,,　,●
«1756-0960»,«節中»,清明三月せつひつしの一刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1756-0970»,«暦日2»,八〳,ひのえね,なる,水,　,きこ
«1756-0980»,«暦日0»,九〳,ひのとのうし,おさん,,　,十し
«1756-0990»,«暦日2»,十〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1756-1000»,«暦日0»,十一〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1756-1010»,«暦日2»,十二〳,かのえたつ,たつ,金,　,くゑ日
«1756-1020»,«暦日0»,十三〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1756-1030»,«暦日2»,十四〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1756-1040»,«暦日0»,十五〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1756-1050»,«暦日2»,十六〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1756-1060»,«暦日0»,十七〳,きのとのとり,とる,,　,神よし  くさかりよし
«1756-1070»,«暦日2»,十八〳,ひのえいぬ,やふる,土,　,五む日
«1756-1080»,«暦日0»,十九〳,ひのとのい,あやふ,,とようとりの一刻ニ入,●
«1756-1090»,«暦日2»,廿〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1756-1100»,«暦日0»,廿一〳,つちのとのうし,おさん,,　,十し
«1756-1110»,«暦日1»,廿二〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1756-1120»,«節中»,穀雨三月中とりの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1756-1130»,«暦日1»,廿三〳,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
«1756-1140»,«暦日2»,廿四〳,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
«1756-1150»,«暦日0»,廿五〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1756-1160»,«暦日2»,廿六〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
