«1798-0000»,【 カンマ区切りテキスト形式です。】
«1798-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1798-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1798-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1798-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1798-0050»,【 外部リンク　】
«1798-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256】
«1798-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1798h　(翻刻編集終了データを表成型して表示します)】
«1798-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1798ht (翻刻編集中データを表成型して表示します)】
«1798-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1798-0100»,«版元»,出版地○○,出版元□□□,　
«1798-0830»,«暦日0»,廿七〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1798-0840»,«暦日2»,廿八〳,みつのえいぬ,やふる,水,ま日,月とく
«1798-0850»,«暦日0»,廿九〳,みつのとのい,あやふ,,八せんのおはり,●
«1798-0860»,«暦日1»,卅〳,きのえね,なる,金,　,くゑ日 きこ
«1798-0870»,«月序»,三月,大,建,丙辰,虛宿　危　月よう
«1798-0880»,«暦日1»,一〳,きのとのうし,おさん,金,　,十し
«1798-0890»,«暦日2»,二〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1798-0900»,«暦日0»,三〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1798-0910»,«暦日2»,四〳,つちのえたつ,たつ,木,とよう今暁うしの一刻ニ入,五む日 くゑ日 ふく日
«1798-0920»,«暦日0»,五〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1798-0930»,«暦日2»,六〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1798-0940»,«暦日0»,七〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1798-0950»,«節中»,穀雨三月中今暁うしの六刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1798-0960»,«暦日2»,八〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1798-0970»,«暦日0»,九〳,みつのとのとり,とる,,　,神よし 大みやう
«1798-0980»,«暦日2»,十〳,きのえいぬ,やふる,火,　, くさかりよし
«1798-0990»,«暦日0»,十一〳,きのとのい,あやふ,,　,●
«1798-1000»,«暦日2»,十二〳,ひのえね,なる,水,　,きしく きこ
«1798-1010»,«暦日0»,十三〳,ひのとのうし,おさん,,　,十し
«1798-1020»,«暦日2»,十四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1798-1030»,«暦日0»,十五〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1798-1040»,«暦日2»,十六〳,かのえたつ,たつ,金,　,くゑ日
«1798-1050»,«暦日0»,十七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1798-1060»,«暦日2»,十八〳,みつのえむま,みつ,木,八十八や,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1798-1070»,«暦日0»,十九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1798-1080»,«暦日2»,廿〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1798-1090»,«暦日0»,廿一〳,きのとのとり,とる,,　,神よし  くさかりよし
«1798-1100»,«暦日1»,廿二〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1798-1110»,«節中»,立夏四月せつたつの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1798-1120»,«暦日1»,廿三〳,ひのとのい,やふる,土,　,大みやう ちう日
«1798-1130»,«暦日2»,廿四〳,つちのえね,あやふ,火,　, けんふくよし
«1798-1140»,«暦日0»,廿五〳,つちのとのうし,なる,,　,きこ  つめとりよし
