«1725-0000»,【 カンマ区切りテキスト形式です。】
«1725-1080»,«暦日0»,廿五〳,みつのとのい,やふる,,立夏四月せつひつしの二刻ニ入|八せんのおはり,くゑ日 ちう日
«1725-1090»,«暦日2»,廿六〳,きのえね,あやふ,金,　
«1725-1100»,«暦日0»,廿七〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1725-1110»,«暦日2»,廿八〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1725-1120»,«暦日0»,廿九〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1725-1130»,«月序»,四月,大,建,辛巳,房宿　氐　土よう
«1725-1140»,«暦日2»,一〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1725-1150»,«暦日0»,二〳,つちのとのみ,たつ,,　,●
«1725-1160»,«暦日2»,三〳,かのえむま,のそく,土,　,わうまう  さひらき みそすつくりよし
«1725-1170»,«暦日0»,四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1725-1180»,«暦日2»,五〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1725-1190»,«暦日0»,六〳,みつのとのとり,さたん,,　,十し
«1725-1200»,«暦日2»,七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1725-1210»,«暦日0»,八〳,きのとのい,やふる,,　,ちう日
«1725-1220»,«暦日2»,九〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1725-1230»,«暦日0»,十〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1725-1240»,«暦日2»,十一〳,つちのえとら,おさん,土,四月中とりの七刻,めつもん  たねまき  つめとりよし
«1725-1250»,«暦日0»,十二〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1725-1260»,«暦日2»,十三〳,かのえたつ,とつ,金,　, けんふくよし
«1725-1270»,«暦日0»,十四〳,かのとのみ,たつ,,　,●
«1725-1280»,«暦日2»,十五〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1725-1290»,«暦日0»,十六〳,みつのとのひつし,みつ,,　,くゑ日
«1725-1300»,«暦日2»,十七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1725-1310»,«暦日0»,十八〳,きのとのとり,さたん,,　,十し
«1725-1320»,«暦日2»,十九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1725-1330»,«暦日0»,廿〳,ひのとのい,やふる,,　,大みやう ちう日
«1725-1340»,«暦日2»,廿一〳,つちのえね,あやふ,火,　,きしく  けんふくよし
«1725-1350»,«暦日0»,廿二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1725-1360»,«暦日2»,廿三〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1725-1370»,«暦日0»,廿四〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1725-1380»,«暦日2»,廿五〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1725-1390»,«暦日0»,廿六〳,みつのとのみ,たつ,,天一天上,●
«1725-1400»,«暦日2»,廿七〳,きのえむま,たつ,金,五月せつねの四刻ニ入,天しや よろつよし
«1725-1410»,«暦日0»,廿八〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1725-1420»,«暦日2»,廿九〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1725-1430»,«暦日0»,卅〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1725-1440»,«月序»,五月,小,建,壬午,心宿　心　月よう
«1725-1450»,«暦日2»,一〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1725-1460»,«暦日0»,二〳,つちのとのい,とる,,　,神よし ちう日
«1725-1470»,«暦日2»,三〳,かのえね,やふる,土,　,●
«1725-1480»,«暦日0»,四〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1725-1490»,«暦日2»,五〳,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
«1725-1500»,«暦日0»,六〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1725-1510»,«暦日2»,七〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1725-1520»,«暦日0»,八〳,きのとのみ,とつ,,　,十し
«1725-1530»,«暦日2»,九〳,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
«1725-1540»,«暦日0»,十〳,ひのとのひつし,のそく,,　,神よし ふく日
«1725-1550»,«暦日2»,十一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1725-1560»,«暦日0»,十二〳,つちのとのとり,たいら,,夏至五月中うの一刻,大みやう めつもん 地火 わうまう
«1725-1570»,«暦日2»,十三〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1725-1580»,«暦日0»,十四〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1725-1590»,«暦日2»,十五〳,みつのえね,やふる,木,八せんのはしめ,●
«1725-1600»,«暦日0»,十六〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1725-1610»,«暦日2»,十七〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1725-1620»,«暦日0»,十八〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1725-1630»,«暦日2»,十九〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
«1725-1640»,«暦日0»,廿〳,ひのとのみ,とつ,,　,十し
«1725-1650»,«暦日2»,廿一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1725-1660»,«暦日0»,廿二〳,つちのとのひつし,のそく,,はんけしやう,神よし 大みやう  みそすつくり 田うへよし
«1725-1670»,«暦日2»,廿三〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1725-1680»,«暦日0»,廿四〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1725-1690»,«暦日2»,廿五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1725-1700»,«暦日0»,廿六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1725-1710»,«暦日2»,廿七〳,きのえね,とる,金,六月せつみの六刻ニ入,きこ 下しきたつの時
«1725-1720»,«暦日0»,廿八〳,きのとのうし,やふる,,　,十し
«1725-1730»,«暦日1»,廿九〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1725-1740»,«月序»,六月,小,建,癸未,尾宿　尾　火よう
«1725-1750»,«暦日1»,一〳,ひのとのう,なる,火,　,神よし 天火 らうしやく
«1725-1760»,«暦日2»,二〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1725-1770»,«暦日0»,三〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1725-1780»,«暦日2»,四〳,かのえむま,とつ,土,初伏,●
«1725-1790»,«暦日0»,五〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1725-1800»,«暦日2»,六〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1725-1810»,«暦日0»,七〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1725-1820»,«暦日2»,八〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1725-1830»,«暦日0»,九〳,きのとのい,さたん,,　,ちう日
«1725-1840»,«暦日2»,十〳,ひのえね,とる,水,とようひつしの七刻ニ入,きこ 下しきたつの時
«1725-1850»,«暦日0»,十一〳,ひのとのうし,やふる,,　,十し
«1725-1860»,«暦日2»,十二〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1725-1870»,«暦日0»,十三〳,つちのとのう,なる,,六月中さるの三刻,神よし 大みやう ふく日 天火 らうしやく
«1725-1880»,«暦日2»,十四〳,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
«1725-1890»,«暦日0»,十五〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1725-1900»,«暦日2»,十六〳,みつのえむま,とつ,木,　,●
«1725-1910»,«暦日0»,十七〳,みつのとのひつし,たつ,,　, たねまきよし
«1725-1920»,«暦日2»,十八〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
«1725-1930»,«暦日0»,十九〳,きのとのとり,みつ,,　,神よし ちいみ
«1725-1940»,«暦日2»,廿〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1725-1950»,«暦日0»,廿一〳,ひのとのい,さたん,,　,大みやう ちう日 わうまう
«1725-1960»,«暦日2»,廿二〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1725-1970»,«暦日0»,廿三〳,つちのとのうし,やふる,,　,十し
«1725-1980»,«暦日2»,廿四〳,かのえとら,あやふ,木,　, やたて  つめとりよし
«1725-1990»,«暦日0»,廿五〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1725-2000»,«暦日2»,廿六〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1725-2010»,«暦日0»,廿七〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1725-2020»,«暦日2»,廿八〳,きのえむま,ひらく,金,立秋七月せついぬの八刻ニ入,神よし ふく日 天火 らうしやく  かといてよし
«1725-2030»,«暦日0»,廿九〳,きのとのひつし,とつ,,　,大みやう 五む日
«1725-2040»,«月序»,七月,大,建,甲申,箕宿　箕　水よう
«1725-2050»,«暦日2»,一〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1725-2060»,«暦日0»,二〳,ひのとのとり,のそく,,　,十し
«1725-2070»,«暦日2»,三〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1725-2080»,«暦日0»,四〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1725-2090»,«暦日2»,五〳,かのえね,さたん,土,末伏,神よし ふく日
«1725-2100»,«暦日0»,六〳,かのとのうし,とる,,　,●
«1725-2110»,«暦日2»,七〳,みつのえとら,やふる,金,　,大みやう わうまう  やたて  つめとりよし
«1725-2120»,«暦日0»,八〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1725-2130»,«暦日2»,九〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1725-2140»,«暦日0»,十〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1725-2150»,«暦日2»,十一〳,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
«1725-2160»,«暦日0»,十二〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1725-2170»,«暦日2»,十三〳,つちのえさる,たつ,土,　,天しや よろつよし
«1725-2180»,«暦日0»,十四〳,つちのとのとり,のそく,,　,十し
«1725-2190»,«暦日2»,十五〳,かのえいぬ,みつ,金,七月中うしの五刻,大みやう ふく日
«1725-2200»,«暦日0»,十六〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1725-2210»,«暦日2»,十七〳,みつのえね,さたん,木,八せんのはしめ,神よし きしく  くらたてよし
«1725-2220»,«暦日0»,十八〳,みつのとのうし,とる,,ま日,●
«1725-2230»,«暦日2»,十九〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1725-2240»,«暦日0»,廿〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1725-2250»,«暦日2»,廿一〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1725-2260»,«暦日0»,廿二〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1725-2270»,«暦日2»,廿三〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1725-2280»,«暦日0»,廿四〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1725-2290»,«暦日2»,廿五〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1725-2300»,«暦日0»,廿六〳,かのとのとり,のそく,,二百十日,十し
«1725-2310»,«暦日2»,廿七〳,みつのえいぬ,みつ,水,ま日
«1725-2320»,«暦日0»,廿八〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1725-2330»,«暦日2»,廿九〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1725-2340»,«暦日0»,卅〳,きのとのうし,さたん,,八月せつたつの一刻ニ入,神よし ふく日  つめとりよし
«1725-2350»,«月序»,八月,小,建,乙酉,斗宿　牛　金よう
«1725-2360»,«暦日2»,一〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1725-2370»,«暦日0»,二〳,ひのとのう,やふる,,　, 田かりよし
«1725-2380»,«暦日2»,三〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1725-2390»,«暦日0»,四〳,つちのとのみ,なる,,　,十し
«1725-2400»,«暦日2»,五〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1725-2410»,«暦日0»,六〳,かのとのひつし,ひらく,,二百廿日,●
«1725-2420»,«暦日2»,七〳,みつのえさる,とつ,金,　,神よし 大みやう
«1725-2430»,«暦日0»,八〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1725-2440»,«暦日2»,九〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1725-2450»,«暦日0»,十〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1725-2460»,«暦日2»,十一〳,ひのえね,たいら,水,　,大くわ 地火
«1725-2470»,«暦日0»,十二〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1725-2480»,«暦日2»,十三〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1725-2490»,«暦日0»,十四〳,つちのとのう,やふる,,　,大みやう
«1725-2500»,«暦日2»,十五〳,かのえたつ,あやふ,金,秋分八月中むまの七刻,きしく
«1725-2510»,«暦日0»,十六〳,かのとのみ,なる,,　,十し
«1725-2520»,«暦日2»,十七〳,みつのえむま,おさん,木,ひかんニなる,大みやう めつもん わうまう
«1725-2530»,«暦日0»,十八〳,みつのとのひつし,ひらく,,　,●
«1725-2540»,«暦日2»,十九〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1725-2550»,«暦日0»,廿〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1725-2560»,«暦日2»,廿一〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
