《1720-0000》,# カンマ区切りテキスト形式です。
《1720-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1720-2110》,《暦日2》,五／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1720-2120》,《暦日0》,六／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1720-2130》,《暦日2》,七／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1720-2140》,《暦日0》,八／,みつのとのとり,のそく,,　,十し
《1720-2150》,《暦日2》,九／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1720-2160》,《暦日0》,十／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1720-2170》,《暦日2》,十一／,ひのえね,さたん,水,　,わうまう  田かりよし
《1720-2180》,《暦日0》,十二／,ひのとのうし,とる,,　,●
《1720-2190》,《暦日2》,十三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1720-2200》,《暦日0》,十四／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1720-2210》,《暦日2》,十五／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1720-2220》,《暦日0》,十六／,かのとのみ,おさん,,　,大くわ ちう日
《1720-2230》,《暦日2》,十七／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1720-2240》,《暦日0》,十八／,みつのとのひつし,とつ,,七月中いの初刻
《1720-2250》,《暦日2》,十九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1720-2260》,《暦日0》,廿／,きのとのとり,のそく,,　,十し
《1720-2270》,《暦日2》,廿一／,ひのえいぬ,みつ,土,　,五む日
《1720-2280》,《暦日0》,廿二／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1720-2290》,《暦日2》,廿三／,つちのえね,さたん,火,　, けんふく くさかりよし
《1720-2300》,《暦日0》,廿四／,つちのとのうし,とる,,　,●
《1720-2310》,《暦日2》,廿五／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1720-2320》,《暦日0》,廿六／,かのとのう,あやふ,,　,神よし
《1720-2330》,《暦日2》,廿七／,みつのえたつ,なる,水,　,きしく 大みやう 五む日 ちいみ
《1720-2340》,《暦日0》,廿八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1720-2350》,《暦日2》,廿九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1720-2360》,《暦日0》,卅／,きのとのひつし,とつ,,二百十日,大みやう 五む日
《1720-2370》,《月序》,八月,小,建,乙酉,房宿　翼　火よう
《1720-2380》,《暦日2》,一／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1720-2390》,《暦日0》,二／,ひのとのとり,のそく,,　,十し
《1720-2400》,《暦日2》,三／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1720-2410》,《暦日0》,四／,つちのとのい,みつ,,八月せつうしの六刻ニ入,神よし ちう日  いちたちよし
《1720-2420》,《暦日2》,五／,かのえね,たいら,土,　,神よし 大くわ 地火
《1720-2430》,《暦日0》,六／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1720-2440》,《暦日2》,七／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1720-2450》,《暦日0》,八／,みつのとのう,やふる,,　, くらたて 田かりよし
《1720-2460》,《暦日2》,九／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1720-2470》,《暦日0》,十／,きのとのみ,なる,,二百廿日,十し
《1720-2480》,《暦日2》,十一／,ひのえむま,おさん,水,　,大みやう めつもん
《1720-2490》,《暦日0》,十二／,ひのとのひつし,ひらく,,　,●
《1720-2500》,《暦日2》,十三／,つちのえさる,とつ,土,　,天しや よろつよし
《1720-2510》,《暦日0》,十四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1720-2520》,《暦日2》,十五／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1720-2530》,《暦日0》,十六／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1720-2540》,《暦日2》,十七／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1720-2550》,《暦日0》,十八／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1720-2560》,《暦日2》,十九／,きのえとら,とる,水,秋分八月中たつの二刻,きこ  かまぬり 田かり  つめとりよし
《1720-2570》,《暦日0》,廿／,きのとのう,やふる,,　,くゑ日 ふく日
《1720-2580》,《暦日2》,廿一／,ひのえたつ,あやふ,土,ま日/ひかんニなる,大みやう わうまう
《1720-2590》,《暦日0》,廿二／,ひのとのみ,なる,,　,十し
《1720-2600》,《暦日2》,廿三／,つちのえむま,おさん,火,ま日/社日,めつもん
《1720-2610》,《暦日0》,廿四／,つちのとのひつし,ひらく,,　,●
《1720-2620》,《暦日2》,廿五／,かのえさる,とつ,木,　,神よし きしく 大みやう  入学よし
《1720-2630》,《暦日0》,廿六／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1720-2640》,《暦日2》,廿七／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1720-2650》,《暦日0》,廿八／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1720-2660》,《暦日1》,廿九／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1720-2670》,《月序》,九月,小,建,丙戌,心宿　軫　水よう
《1720-2680》,《暦日1》,一／,きのとのうし,さたん,金,　,神よし ふく日  つめとりよし
《1720-2690》,《暦日2》,二／,ひのえとら,とる,火,　,きこ  つめとりよし
《1720-2700》,《暦日0》,三／,ひのとのう,やふる,,　, 田かりよし
《1720-2710》,《暦日2》,四／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1720-2720》,《暦日0》,五／,つちのとのみ,あやふ,,かん露九月せつむまの八刻ニ入,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1720-2730》,《暦日2》,六／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1720-2740》,《暦日0》,七／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1720-2750》,《暦日2》,八／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1720-2760》,《暦日0》,九／,みつのとのとり,とつ,,　,神よし 大みやう
《1720-2770》,《暦日2》,十／,きのえいぬ,たつ,火,　,くゑ日
《1720-2780》,《暦日0》,十一／,きのとのい,のそく,,　,ちう日  田かりよし
《1720-2790》,《暦日2》,十二／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1720-2800》,《暦日0》,十三／,ひのとのうし,たいら,,　,十し
《1720-2810》,《暦日2》,十四／,つちのえとら,さたん,土,　,●
《1720-2820》,《暦日0》,十五／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1720-2830》,《暦日2》,十六／,かのえたつ,やふる,金,　
《1720-2840》,《暦日0》,十七／,かのとのみ,あやふ,,とようとりの初刻ニ入,ちいみ ちう日 下しきひつしの時
《1720-2850》,《暦日2》,十八／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1720-2860》,《暦日0》,十九／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1720-2870》,《暦日2》,廿／,きのえさる,ひらく,水,九月中とりの四刻/十方くれニ入,大みやう
