«1733-0000»,【 カンマ区切りテキスト形式です。】
«1733-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1733-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1733-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1733-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1733-0050»,【 外部リンク　】
«1733-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/144 ～ 150】
«1733-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1733h　(翻刻編集終了データを表成型して表示します)】
«1733-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1733ht (翻刻編集中データを表成型して表示します)】
«1733-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1733-0100»,«版元»,出版地○○,出版元□□□,　
«1733-2200»,«暦日2»,三〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1733-2210»,«暦日0»,四〳,みつのとのひつし,とつ,,　
«1733-2220»,«暦日2»,五〳,きのえさる,たつ,水,十方くれニ入,きしく 大みやう ふく日 わうまう 下しきみの時
«1733-2230»,«暦日0»,六〳,きのとのとり,のそく,,　,十し
«1733-2240»,«暦日2»,七〳,ひのえいぬ,みつ,土,　,五む日
«1733-2250»,«暦日0»,八〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1733-2260»,«暦日2»,九〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1733-2270»,«暦日0»,十〳,つちのとのうし,とる,,　,●
«1733-2280»,«暦日2»,十一〳,かのえとら,やふる,木,　,さい下しき ふく日  つめとりよし
«1733-2290»,«暦日0»,十二〳,かのとのう,あやふ,,　,神よし
«1733-2300»,«暦日1»,十三〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1733-2310»,«節中»,処暑七月中ねの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1733-2320»,«暦日1»,十四〳,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
«1733-2330»,«暦日2»,十五〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1733-2340»,«暦日0»,十六〳,きのとのひつし,とつ,,　,大みやう 五む日
«1733-2350»,«暦日2»,十七〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1733-2360»,«暦日0»,十八〳,ひのとのとり,のそく,,　,十し
«1733-2370»,«暦日2»,十九〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1733-2380»,«暦日0»,廿〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1733-2390»,«暦日2»,廿一〳,かのえね,さたん,土,　,神よし ふく日
«1733-2400»,«暦日0»,廿二〳,かのとのうし,とる,,　,●
«1733-2410»,«暦日2»,廿三〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1733-2420»,«暦日0»,廿四〳,みつのとのう,あやふ,,二百十日,神よし  わたまし みそすつくりよし
«1733-2430»,«暦日2»,廿五〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1733-2440»,«暦日0»,廿六〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1733-2450»,«暦日2»,廿七〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1733-2460»,«暦日0»,廿八〳,ひのとのひつし,ひらく,,　,●
«1733-2470»,«節中»,白露八月せつうの三刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1733-2480»,«暦日1»,廿九〳,つちのえさる,とつ,土,　,天しや よろつよし
«1733-2490»,«月序»,八月,大,建,辛酉,觜宿　觜　火よう
«1733-2500»,«暦日1»,一〳,つちのとのとり,たつ,土,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1733-2510»,«暦日2»,二〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1733-2520»,«暦日0»,三〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1733-2530»,«暦日2»,四〳,みつのえね,たいら,木,八せんのはしめ,神よし きしく 大くわ 地火
«1733-2540»,«暦日0»,五〳,みつのとのうし,さたん,,二百廿日|ま日,神よし  たねまき 竹木こり  つめとりよし
«1733-2550»,«暦日2»,六〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1733-2560»,«暦日0»,七〳,きのとのう,やふる,,　,くゑ日 ふく日
«1733-2570»,«暦日2»,八〳,ひのえたつ,あやふ,土,ま日,大みやう
«1733-2580»,«暦日0»,九〳,ひのとのみ,なる,,　,十し
«1733-2590»,«暦日2»,十〳,つちのえむま,おさん,火,ま日|社日,めつもん
«1733-2600»,«暦日0»,十一〳,つちのとのひつし,ひらく,,　,●
