«1796-0000»,【 カンマ区切りテキスト形式です。】
«1796-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1796-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1796-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1796-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1796-0050»,【 外部リンク　】
«1796-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/243 ～ 247】
«1796-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1796h　(翻刻編集終了データを表成型して表示します)】
«1796-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1796ht (翻刻編集中データを表成型して表示します)】
«1796-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1796-0100»,«版元»,出版地○○,出版元□□□,　
«1796-1150»,«暦日2»,廿八〳,きのえいぬ,やふる,火,　, くさかりよし
«1796-1160»,«暦日0»,廿九〳,きのとのい,やふる,,　,月とく ちう日
«1796-1170»,«節中»,立夏四月せついぬの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1796-1180»,«月序»,四月,大,建,癸巳,婁宿　氐　土よう
«1796-1190»,«暦日2»,一〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1796-1200»,«暦日0»,二〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1796-1210»,«暦日2»,三〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1796-1220»,«暦日0»,四〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1796-1230»,«暦日2»,五〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1796-1240»,«暦日0»,六〳,かのとのみ,たつ,,　,●
«1796-1250»,«暦日2»,七〳,みつのえむま,のそく,木,　,大みやう 天おん ふく日 わうまう
«1796-1260»,«暦日0»,八〳,みつのとのひつし,みつ,,　,くゑ日
«1796-1270»,«暦日2»,九〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1796-1280»,«暦日0»,十〳,きのとのとり,さたん,,　,十し
«1796-1290»,«暦日2»,十一〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1796-1300»,«暦日0»,十二〳,ひのとのい,やふる,,　,大みやう ちう日
«1796-1310»,«暦日2»,十三〳,つちのえね,あやふ,火,　, けんふくよし
«1796-1320»,«暦日0»,十四〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1796-1330»,«暦日2»,十五〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1796-1340»,«暦日0»,十六〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1796-1350»,«節中»,小満四月中今暁ねの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1796-1360»,«暦日2»,十七〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1796-1370»,«暦日0»,十八〳,みつのとのみ,たつ,,天一天上,●
«1796-1380»,«暦日2»,十九〳,きのえむま,のそく,金,　,天しや よろつよし
«1796-1390»,«暦日0»,廿〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1796-1400»,«暦日2»,廿一〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1796-1410»,«暦日0»,廿二〳,ひのとのとり,さたん,,　,十し
«1796-1420»,«暦日2»,廿三〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1796-1430»,«暦日0»,廿四〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1796-1440»,«暦日2»,廿五〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1796-1450»,«暦日0»,廿六〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1796-1460»,«暦日2»,廿七〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1796-1470»,«暦日0»,廿八〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1796-1480»,«暦日2»,廿九〳,きのえたつ,とつ,火,　,大みやう
«1796-1490»,«暦日0»,卅〳,きのとのみ,たつ,,　,●
«1796-1500»,«月序»,五月,小,建,甲午,胃宿　心　月よう
