«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-1090»,«暦日1»,廿一〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1779-1100»,«節中»,立夏四月せつさるの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1779-1110»,«暦日1»,廿二〳,ひのとのひつし,みつ,水,　,くゑ日
«1779-1120»,«暦日2»,廿三〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1779-1130»,«暦日0»,廿四〳,つちのとのとり,さたん,,　,十し
«1779-1140»,«暦日2»,廿五〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1779-1150»,«暦日0»,廿六〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1779-1160»,«暦日2»,廿七〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1779-1170»,«暦日0»,廿八〳,みつのとのうし,なる,,ま日,天おん きこ わうまう  つめとりよし
«1779-1180»,«暦日1»,廿九〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1779-1190»,«月序»,四月,小,建,己巳,斗宿　昴　日よう
«1779-1200»,«暦日1»,一〳,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
«1779-1210»,«暦日2»,二〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1779-1220»,«暦日0»,三〳,ひのとのみ,たつ,,　,●
«1779-1230»,«暦日2»,四〳,つちのえむま,のそく,火,ま日,くゑ日
«1779-1240»,«暦日0»,五〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1779-1250»,«暦日2»,六〳,かのえさる,たいら,木,　,神よし きしく 大みやう 月とく ちいみ 大くわ 地火
«1779-1260»,«暦日0»,七〳,かのとのとり,さたん,,　,十し
«1779-1270»,«節中»,小満四月中いの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1779-1280»,«暦日2»,八〳,みつのえいぬ,とる,水,ま日,ふく日
«1779-1290»,«暦日0»,九〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1779-1300»,«暦日2»,十〳,きのえね,あやふ,金,　,天おん
«1779-1310»,«暦日0»,十一〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1779-1320»,«暦日2»,十二〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1779-1330»,«暦日0»,十三〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1779-1340»,«暦日2»,十四〳,つちのえたつ,とつ,木,　,五む日 くゑ日
