«1816-0000»,【 カンマ区切りテキスト形式です。】
«1816-0850»,«暦日0»,廿九〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1816-0860»,«暦日1»,卅〳,かのえたつ,のそく,金,　,●
«1816-0870»,«月序»,三月,小,建,壬辰,氐宿　婁　金よう
«1816-0880»,«暦日1»,一〳,かのとのみ,みつ,金,　,十し
«1816-0890»,«暦日2»,二〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1816-0900»,«暦日0»,三〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1816-0910»,«暦日2»,四〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1816-0920»,«暦日0»,五〳,きのとのとり,やふる,,　,ふく日
«1816-0930»,«暦日2»,六〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1816-0940»,«暦日0»,七〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1816-0950»,«暦日2»,八〳,つちのえね,おさん,火,　,きしく 母倉 めつもん  けんふく たねかしよし
«1816-0960»,«暦日0»,九〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1816-0970»,«暦日1»,十〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1816-0980»,«節中»,清明三月せつうの三刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1816-0990»,«暦日1»,十一〳,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
«1816-1000»,«暦日2»,十二〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1816-1010»,«暦日0»,十三〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1816-1020»,«暦日2»,十四〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1816-1030»,«暦日0»,十五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1816-1040»,«暦日2»,十六〳,ひのえさる,さたん,火,　,くゑ日
«1816-1050»,«暦日0»,十七〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1816-1060»,«暦日2»,十八〳,つちのえいぬ,やふる,木,　,ふく日
«1816-1070»,«暦日0»,十九〳,つちのとのい,あやふ,,　,●
«1816-1080»,«暦日2»,廿〳,かのえね,なる,土,　,神よし きこ
«1816-1090»,«暦日0»,廿一〳,かのとのうし,おさん,,　,十し
«1816-1100»,«暦日2»,廿二〳,みつのえとら,ひらく,金,とようみの四刻ニ入,大みやう 月とく ちいみ  つめとりよし
«1816-1110»,«暦日0»,廿三〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1816-1120»,«暦日2»,廿四〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1816-1130»,«暦日0»,廿五〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1816-1140»,«節中»,穀雨三月中むまの初刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1816-1150»,«暦日2»,廿六〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1816-1160»,«暦日0»,廿七〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1816-1170»,«暦日2»,廿八〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1816-1180»,«暦日0»,廿九〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1816-1190»,«月序»,四月,大,建,癸巳,房宿　胃　土よう
«1816-1200»,«暦日2»,一〳,かのえいぬ,やふる,金,　,大みやう 天おん わうまう
«1816-1210»,«暦日0»,二〳,かのとのい,あやふ,,　,●
«1816-1220»,«暦日2»,三〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1816-1230»,«暦日0»,四〳,みつのとのうし,おさん,,ま日,十し
«1816-1240»,«暦日2»,五〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1816-1250»,«暦日0»,六〳,きのとのう,とつ,,　,神よし  ものたちよし
«1816-1260»,«暦日2»,七〳,ひのえたつ,たつ,土,八十八や|ま日,きしく 大みやう  わたましよし
«1816-1270»,«暦日0»,八〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1816-1280»,«暦日2»,九〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1816-1290»,«暦日0»,十〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1816-1300»,«暦日1»,十一〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1816-1310»,«節中»,立夏四月せつさるの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1816-1320»,«暦日1»,十二〳,かのとのとり,さたん,木,　,十し
«1816-1330»,«暦日2»,十三〳,みつのえいぬ,とる,水,ま日,ふく日
«1816-1340»,«暦日0»,十四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1816-1350»,«暦日2»,十五〳,きのえね,あやふ,金,　,天おん
«1816-1360»,«暦日0»,十六〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1816-1370»,«暦日2»,十七〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1816-1380»,«暦日0»,十八〳,ひのとのう,ひらく,,　,天おん 母倉 わうまう  わたましよし
«1816-1390»,«暦日2»,十九〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1816-1400»,«暦日0»,廿〳,つちのとのみ,たつ,,　,●
«1816-1410»,«暦日2»,廿一〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1816-1420»,«暦日0»,廿二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1816-1430»,«暦日2»,廿三〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1816-1440»,«暦日0»,廿四〳,みつのとのとり,さたん,,　,十し
«1816-1450»,«暦日2»,廿五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1816-1460»,«暦日0»,廿六〳,きのとのい,やふる,,　,月とく ちう日
«1816-1470»,«節中»,小満四月中いの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1816-1480»,«暦日2»,廿七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1816-1490»,«暦日0»,廿八〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
«1816-1500»,«暦日2»,廿九〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1816-1510»,«暦日0»,卅〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1816-1520»,«月序»,五月,小,建,甲午,心宿　畢　月よう
«1816-1530»,«暦日2»,一〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1816-1540»,«暦日0»,二〳,かのとのみ,たつ,,　,●
«1816-1550»,«暦日2»,三〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1816-1560»,«暦日0»,四〳,みつのとのひつし,みつ,,　,くゑ日
«1816-1570»,«暦日2»,五〳,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
«1816-1580»,«暦日0»,六〳,きのとのとり,さたん,,　,十し
«1816-1590»,«暦日2»,七〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1816-1600»,«暦日0»,八〳,ひのとのい,やふる,,　,大みやう ちう日
«1816-1610»,«暦日2»,九〳,つちのえね,あやふ,火,　, けんふくよし
«1816-1620»,«暦日0»,十〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1816-1630»,«暦日2»,十一〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1816-1640»,«暦日0»,十二〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1816-1650»,«節中»,芒種五月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1816-1660»,«暦日2»,十三〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1816-1670»,«暦日0»,十四〳,みつのとのみ,とつ,,天一天上,十し
«1816-1680»,«暦日2»,十五〳,きのえむま,たつ,金,　,天しや よろつよし
«1816-1690»,«暦日0»,十六〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1816-1700»,«暦日2»,十七〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1816-1710»,«暦日0»,十八〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1816-1720»,«暦日2»,十九〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1816-1730»,«暦日0»,廿〳,つちのとのい,とる,,　,神よし ちう日
«1816-1740»,«暦日2»,廿一〳,かのえね,やふる,土,　,●
«1816-1750»,«暦日0»,廿二〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1816-1760»,«暦日2»,廿三〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1816-1770»,«暦日0»,廿四〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1816-1780»,«暦日2»,廿五〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1816-1790»,«暦日0»,廿六〳,きのとのみ,とつ,,　,十し
«1816-1800»,«暦日1»,廿七〳,ひのえむま,たつ,水,　,大みやう くゑ日 わうまう 下しきうの時
«1816-1810»,«節中»,夏至五月中たつの四刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1816-1820»,«暦日1»,廿八〳,ひのとのひつし,のそく,水,　,神よし ふく日
«1816-1830»,«暦日1»,廿九〳,つちのえさる,みつ,土,　,神よし  入学よし
«1816-1840»,«月序»,六月,大,建,乙未,尾宿　觜　火よう
«1816-1850»,«暦日1»,一〳,つちのとのとり,たいら,土,　,神よし 大みやう 天おん めつもん 地火
«1816-1860»,«暦日2»,二〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1816-1870»,«暦日0»,三〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1816-1880»,«暦日2»,四〳,みつのえね,やふる,木,八せんのはしめ,●
«1816-1890»,«暦日0»,五〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1816-1900»,«暦日2»,六〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1816-1910»,«暦日0»,七〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1816-1920»,«暦日2»,八〳,ひのえたつ,ひらく,土,はんけしやう|ま日,大みやう 月とく  けんふく いちたちよし
«1816-1930»,«暦日0»,九〳,ひのとのみ,とつ,,　,十し
«1816-1940»,«暦日2»,十〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1816-1950»,«暦日0»,十一〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1816-1960»,«暦日2»,十二〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1816-1970»,«暦日0»,十三〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1816-1980»,«節中»,小暑六月せつひつしの一刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1816-1990»,«暦日2»,十四〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1816-2000»,«暦日0»,十五〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1816-2010»,«暦日2»,十六〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1816-2020»,«暦日0»,十七〳,きのとのうし,やふる,,　,十し
«1816-2030»,«暦日2»,十八〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1816-2040»,«暦日0»,十九〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1816-2050»,«暦日2»,廿〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1816-2060»,«暦日0»,廿一〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1816-2070»,«暦日2»,廿二〳,かのえむま,とつ,土,初伏,●
«1816-2080»,«暦日0»,廿三〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1816-2090»,«暦日2»,廿四〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1816-2100»,«暦日0»,廿五〳,みつのとのとり,みつ,,とようとりの二刻ニ入,神よし 大みやう ちいみ  みそすつくりよし
«1816-2110»,«暦日2»,廿六〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1816-2120»,«暦日0»,廿七〳,きのとのい,さたん,,　,ちう日
«1816-2130»,«暦日1»,廿八〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1816-2140»,«節中»,大暑六月中とりの六刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1816-2150»,«暦日1»,廿九〳,ひのとのうし,やふる,水,　,十し
