《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1130》,《節中》,立夏四月せつ夜五時二分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1140》,《暦日1》,廿五／,ひのとのとり,さたん,火,　,十し
《1150》,《暦日2》,廿六／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1160》,《暦日0》,廿七／,つちのとのい,やふる,,　,くゑ日 ちう日
《1170》,《暦日2》,廿八／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1180》,《暦日0》,廿九／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1190》,《暦日1》,卅／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1200》,《月序》,四月,小,建,己巳,柳宿　壁　水よう
《1210》,《暦日1》,一／,みつのとのう,ひらく,金,　,母倉 わうまう  かといて さひらきよし
《1220》,《暦日2》,二／,きのえたつ,とつ,火,　,大みやう
《1230》,《暦日0》,三／,きのとのみ,たつ,,　,●
《1240》,《暦日2》,四／,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
《1250》,《暦日0》,五／,ひのとのひつし,みつ,,　,くゑ日
《1260》,《暦日2》,六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1270》,《暦日0》,七／,つちのとのとり,さたん,,　,十し
《1280》,《暦日2》,八／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1290》,《暦日0》,九／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1300》,《暦日1》,十／,みつのえね,あやふ,木,八せんのはしめ,神よし きしく 天おん ふく日  くらたてよし
《1310》,《節中》,小満四月中朝四時四分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1320》,《暦日1》,十一／,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
《1330》,《暦日2》,十二／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1340》,《暦日0》,十三／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1350》,《暦日2》,十四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1360》,《暦日0》,十五／,ひのとのみ,たつ,,　,●
《1370》,《暦日2》,十六／,つちのえむま,のそく,火,ま日,くゑ日
《1380》,《暦日0》,十七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1390》,《暦日2》,十八／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1400》,《暦日0》,十九／,かのとのとり,さたん,,　,十し
《1410》,《暦日2》,廿／,みつのえいぬ,とる,水,ま日,ふく日
《1420》,《暦日0》,廿一／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1430》,《暦日2》,廿二／,きのえね,あやふ,金,　,天おん
《1440》,《暦日0》,廿三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1450》,《暦日2》,廿四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1460》,《暦日0》,廿五／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1470》,《暦日1》,廿六／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1480》,《節中》,芒種五月せつ今暁八時五分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1490》,《暦日1》,廿七／,つちのとのみ,とつ,木,　,十し
《1500》,《暦日2》,廿八／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1510》,《暦日0》,廿九／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1520》,《月序》,五月,小,建,庚午,星宿　奎　木よう
《1530》,《暦日2》,一／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1540》,《暦日0》,二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1550》,《暦日2》,三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1560》,《暦日0》,四／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1570》,《暦日2》,五／,ひのえね,やふる,水,　,●
《1580》,《暦日0》,六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1590》,《暦日2》,七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1600》,《暦日0》,八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1610》,《暦日2》,九／,かのえたつ,ひらく,金,　,きしく 天おん  けんふく かといてよし
《1620》,《暦日0》,十／,かのとのみ,とつ,,　,十し
《1630》,《暦日2》,十一／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1640》,《暦日0》,十二／,みつのとのひつし,のそく,,　,天おん ふく日 わうまう  田うへよし
《1650》,《節中》,夏至五月中夕七時七分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1660》,《暦日2》,十三／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1670》,《暦日0》,十四／,きのとのとり,たいら,,　,神よし めつもん 地火
《1680》,《暦日2》,十五／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1690》,《暦日0》,十六／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1700》,《暦日2》,十七／,つちのえね,やふる,火,　,●
《1710》,《暦日0》,十八／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1720》,《暦日2》,十九／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1730》,《暦日0》,廿／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1740》,《暦日2》,廿一／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1750》,《暦日0》,廿二／,みつのとのみ,とつ,,天一天上,十し
《1760》,《暦日2》,廿三／,きのえむま,たつ,金,はんけしやう,天しや よろつよし
《1770》,《暦日0》,廿四／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1780》,《暦日2》,廿五／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1790》,《暦日0》,廿六／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1800》,《暦日2》,廿七／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1810》,《暦日0》,廿八／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
