«1762-0000»,【 カンマ区切りテキスト形式です。】
«1762-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1762-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1762-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1762-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1762-0050»,【 外部リンク　】
«1762-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/82 ～ 86】
«1762-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1762h　(翻刻編集終了データを表成型して表示します)】
«1762-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1762ht (翻刻編集中データを表成型して表示します)】
«1762-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1762-0100»,«版元»,出版地○○,出版元□□□,　
«1762-0590»,«暦日0»,五〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1762-0600»,«暦日2»,六〳,かのえむま,さたん,土,　,神よし ふく日
«1762-0610»,«暦日0»,七〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1762-0620»,«暦日2»,八〳,みつのえさる,やふる,金,　,神よし 大みやう
«1762-0630»,«暦日0»,九〳,みつのとのとり,あやふ,,　,十し
«1762-0640»,«暦日2»,十〳,きのえいぬ,なる,火,　,●
«1762-0650»,«暦日0»,十一〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1762-0660»,«暦日1»,十二〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1762-0670»,«節中»,啓蟄二月せつひつしの二刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1762-0680»,«暦日1»,十三〳,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
«1762-0690»,«暦日2»,十四〳,つちのえとら,とつ,土,　,天しや よろつよし
«1762-0700»,«暦日0»,十五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1762-0710»,«暦日2»,十六〳,かのえたつ,のそく,金,　,●
«1762-0720»,«暦日0»,十七〳,かのとのみ,みつ,,　,十し
«1762-0730»,«暦日2»,十八〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1762-0740»,«暦日0»,十九〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1762-0750»,«暦日2»,廿〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1762-0760»,«暦日0»,廿一〳,きのとのとり,やふる,,　,ふく日
«1762-0770»,«暦日2»,廿二〳,ひのえいぬ,あやふ,土,ひかんニなる,五む日  あさまきよし
«1762-0780»,«暦日0»,廿三〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1762-0790»,«暦日2»,廿四〳,つちのえね,おさん,火,社日,きしく 母倉 めつもん  けんふく たねかしよし
«1762-0800»,«暦日0»,廿五〳,つちのとのうし,ひらく,,　,月とく わうまう  井ほり  つめとりよし
«1762-0810»,«暦日2»,廿六〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1762-0820»,«暦日0»,廿七〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1762-0830»,«節中»,春分二月中とりの七刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1762-0840»,«暦日2»,廿八〳,みつのえたつ,のそく,水,　,●
«1762-0850»,«暦日0»,廿九〳,みつのとのみ,みつ,,天一天上,十し
«1762-0860»,«暦日1»,卅〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1762-0870»,«月序»,三月,小,建,甲辰,翼宿　亢　金よう
«1762-0880»,«暦日1»,一〳,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1762-0890»,«暦日2»,二〳,ひのえさる,とる,火,　,神よし
«1762-0900»,«暦日0»,三〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1762-0910»,«暦日2»,四〳,つちのえいぬ,あやふ,木,　, かといてよし
«1762-0920»,«暦日0»,五〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1762-0930»,«暦日2»,六〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1762-0940»,«暦日0»,七〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1762-0950»,«暦日2»,八〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1762-0960»,«暦日0»,九〳,みつのとのう,たつ,,　,天火 らうしやく
«1762-0970»,«暦日2»,十〳,きのえたつ,のそく,火,　,●
«1762-0980»,«暦日0»,十一〳,きのとのみ,みつ,,　,十し
«1762-0990»,«暦日1»,十二〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1762-1000»,«節中»,清明三月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1762-1010»,«暦日1»,十三〳,ひのとのひつし,たいら,水,　,さい下しき 神よし 月とく めつもん 地火
«1762-1020»,«暦日2»,十四〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1762-1030»,«暦日0»,十五〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1762-1040»,«暦日2»,十六〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1762-1050»,«暦日0»,十七〳,かのとのい,あやふ,,　,●
«1762-1060»,«暦日2»,十八〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1762-1070»,«暦日0»,十九〳,みつのとのうし,おさん,,ま日,十し
«1762-1080»,«暦日2»,廿〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1762-1090»,«暦日0»,廿一〳,きのとのう,とつ,,　,神よし  ものたちよし
«1762-1100»,«暦日2»,廿二〳,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
«1762-1110»,«暦日0»,廿三〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1762-1120»,«暦日2»,廿四〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1762-1130»,«暦日0»,廿五〳,つちのとのひつし,たいら,,とよう今暁とらの五刻ニ入,神よし 大みやう ふく日 めつもん 地火
«1762-1140»,«暦日2»,廿六〳,かのえさる,さたん,木,　,大みやう くゑ日
