«1842-0000»,【 カンマ区切りテキスト形式です。】
«1842-2470»,«暦日2»,廿八〳,きのえいぬ,みつ,火,二百十日,母倉 ふく日  くらたてよし
«1842-2480»,«暦日0»,廿九〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1842-2490»,«暦日1»,卅〳,ひのえね,さたん,水,　, 田かりよし
«1842-2500»,«月序»,八月,小,建,己酉,危宿　危　月よう
«1842-2510»,«暦日1»,一〳,ひのとのうし,とる,水,　,●
«1842-2520»,«暦日1»,二〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1842-2530»,«節中»,白露八月せつとりの二刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1842-2540»,«暦日1»,三〳,つちのとのう,やふる,土,　,大みやう 天おん
«1842-2550»,«暦日2»,四〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1842-2560»,«暦日0»,五〳,かのとのみ,なる,,　,十し
«1842-2570»,«暦日2»,六〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん
«1842-2580»,«暦日0»,七〳,みつのとのひつし,ひらく,,　,●
«1842-2590»,«暦日2»,八〳,きのえさる,とつ,水,二百廿日|十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1842-2600»,«暦日0»,九〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
«1842-2610»,«暦日2»,十〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
«1842-2620»,«暦日0»,十一〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1842-2630»,«暦日2»,十二〳,つちのえね,たいら,火,社日,きしく 大くわ 地火
«1842-2640»,«暦日0»,十三〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1842-2650»,«暦日2»,十四〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
«1842-2660»,«暦日0»,十五〳,かのとのう,やふる,,　,ふく日  田かりよし
«1842-2670»,«暦日2»,十六〳,みつのえたつ,あやふ,水,ひかんニなる,大みやう 母倉 五む日
