《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1210》,《月序》,四月,大,建,己巳,柳宿　井　木よう
《1220》,《暦日1》,一／,きのとのい,あやふ,火,　,●
《1230》,《暦日2》,二／,ひのえね,なる,水,　,きしく きこ
《1240》,《暦日0》,三／,ひのとのうし,おさん,,　,十し
《1250》,《暦日2》,四／,つちのえとら,ひらく,土,　,天しや よろつよし
《1260》,《暦日0》,五／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1270》,《暦日2》,六／,かのえたつ,たつ,金,八十八や,くゑ日
《1280》,《暦日0》,七／,かのとのみ,のそく,,　,ちう日
《1290》,《暦日2》,八／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1300》,《暦日0》,九／,みつのとのひつし,たいら,,　,めつもん 地火
《1310》,《暦日1》,十／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1320》,《節中》,立夏四月せつむまの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1330》,《暦日1》,十一／,きのとのとり,さたん,水,　,十し
《1340》,《暦日2》,十二／,ひのえいぬ,とる,土,　,さい下しき 五む日 ふく日  くさかりよし
《1350》,《暦日0》,十三／,ひのとのい,やふる,,　,大みやう ちう日
《1360》,《暦日2》,十四／,つちのえね,あやふ,火,　, けんふくよし
《1370》,《暦日0》,十五／,つちのとのうし,なる,,　,きこ  つめとりよし
《1380》,《暦日2》,十六／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1390》,《暦日0》,十七／,かのとのう,ひらく,,　,わうまう  やたて ものたちよし
《1400》,《暦日2》,十八／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1410》,《暦日0》,十九／,みつのとのみ,たつ,,天一天上,●
《1420》,《暦日2》,廿／,きのえむま,のそく,金,　,天しや よろつよし
《1430》,《暦日0》,廿一／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1440》,《暦日2》,廿二／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1450》,《暦日0》,廿三／,ひのとのとり,さたん,,　,十し
《1460》,《暦日2》,廿四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1470》,《暦日0》,廿五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1480》,《節中》,小満四月中とりの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
