《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1060》,《暦日0》,廿四／,つちのとのうし,おさん,,三月中とりの一刻,十し
《1070》,《暦日2》,廿五／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1080》,《暦日0》,廿六／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1090》,《暦日2》,廿七／,みつのえたつ,たつ,水,　,きしく 大みやう 五む日
《1100》,《暦日0》,廿八／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1110》,《暦日2》,廿九／,きのえむま,みつ,金,　,天火 らうしやく わうまう  ふねのりよし
《1120》,《暦日0》,卅／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1130》,《月序》,四月,小,建,辛巳,觜宿　翼　火よう
《1140》,《暦日2》,一／,ひのえさる,さたん,火,　,くゑ日
《1150》,《暦日0》,二／,ひのとのとり,とる,,　,神よし  いちたちよし
《1160》,《暦日2》,三／,つちのえいぬ,やふる,木,　,ふく日
《1170》,《暦日0》,四／,つちのとのい,あやふ,,　,●
《1180》,《暦日2》,五／,かのえね,なる,土,八十八や,神よし きこ
《1190》,《暦日0》,六／,かのとのうし,おさん,,　,十し
《1200》,《暦日2》,七／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1210》,《暦日0》,八／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1220》,《暦日2》,九／,きのえたつ,とつ,火,立夏四月せついの六刻ニ入,大みやう
《1230》,《暦日0》,十／,きのとのみ,たつ,,　,●
《1240》,《暦日2》,十一／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1250》,《暦日0》,十二／,ひのとのひつし,みつ,,　,くゑ日
《1260》,《暦日2》,十三／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1270》,《暦日0》,十四／,つちのとのとり,さたん,,　,十し
《1280》,《暦日2》,十五／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1290》,《暦日0》,十六／,かのとのい,やふる,,　,大みやう ちう日 わうまう  さひらきよし
《1300》,《暦日2》,十七／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1310》,《暦日0》,十八／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1320》,《暦日2》,十九／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1330》,《暦日0》,廿／,きのとのう,ひらく,,　,神よし  さひらきよし
《1340》,《暦日2》,廿一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1350》,《暦日0》,廿二／,ひのとのみ,たつ,,　,●
《1360》,《暦日2》,廿三／,つちのえむま,のそく,火,ま日,くゑ日
《1370》,《暦日0》,廿四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1380》,《暦日2》,廿五／,かのえさる,たいら,木,四月中とらの三刻,神よし きしく 大みやう ちいみ 大くわ 地火
《1390》,《暦日0》,廿六／,かのとのとり,さたん,,　,十し
《1400》,《暦日2》,廿七／,みつのえいぬ,とる,水,ま日,ふく日
《1410》,《暦日0》,廿八／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1420》,《暦日1》,廿九／,きのえね,あやふ,金,　
《1430》,《月序》,五月,大,建,壬午,參宿　軫　水よう
《1440》,《暦日1》,一／,きのとのうし,なる,金,　,きこ  かまぬり  つめとりよし
《1450》,《暦日2》,二／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1460》,《暦日0》,三／,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
《1470》,《暦日2》,四／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1480》,《暦日0》,五／,つちのとのみ,たつ,,　,●
《1490》,《暦日2》,六／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1500》,《暦日0》,七／,かのとのひつし,みつ,,　,大みやう くゑ日
《1510》,《暦日2》,八／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1520》,《暦日0》,九／,みつのとのとり,さたん,,　,十し
《1530》,《暦日2》,十／,きのえいぬ,とる,火,　, やたて くらたてよし
《1540》,《暦日0》,十一／,きのとのい,とる,,五月せつみの初刻ニ入,ちう日  むきかり 田うへよし
《1550》,《暦日2》,十二／,ひのえね,やふる,水,　,●
《1560》,《暦日0》,十三／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1570》,《暦日2》,十四／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1580》,《暦日0》,十五／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1590》,《暦日2》,十六／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1600》,《暦日0》,十七／,かのとのみ,とつ,,　,十し
《1610》,《暦日2》,十八／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1620》,《暦日0》,十九／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1630》,《暦日2》,廿／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1640》,《暦日0》,廿一／,きのとのとり,たいら,,　,神よし めつもん 地火
《1650》,《暦日2》,廿二／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1660》,《暦日0》,廿三／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1670》,《暦日2》,廿四／,つちのえね,やふる,火,　,●
《1680》,《暦日0》,廿五／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1690》,《暦日2》,廿六／,かのえとら,なる,木,夏至五月中ひつしの五刻,きこ わうまう  井ほり  つめとりよし
《1700》,《暦日0》,廿七／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1710》,《暦日2》,廿八／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1720》,《暦日0》,廿九／,みつのとのみ,とつ,,天一天上,十し
《1730》,《暦日1》,卅／,きのえむま,たつ,金,　,天しや よろつよし
《1740》,《月序》,六月,小,建,癸未,井宿　亢　金よう
《1750》,《暦日1》,一／,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
《1760》,《暦日2》,二／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1770》,《暦日0》,三／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1780》,《暦日2》,四／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1790》,《暦日0》,五／,つちのとのい,とる,,　,神よし ちう日
《1800》,《暦日2》,六／,かのえね,やふる,土,はんけしやう,●
《1810》,《暦日0》,七／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1820》,《暦日2》,八／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1830》,《暦日0》,九／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1840》,《暦日2》,十／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1850》,《暦日0》,十一／,きのとのみ,ひらく,,六月せついぬの二刻ニ入,大みやう ちう日
《1860》,《暦日2》,十二／,ひのえむま,とつ,水,　,●
《1870》,《暦日0》,十三／,ひのとのひつし,たつ,,　,くゑ日
《1880》,《暦日2》,十四／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1890》,《暦日0》,十五／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1900》,《暦日2》,十六／,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
《1910》,《暦日0》,十七／,かのとのい,さたん,,　,大みやう ちう日
《1920》,《暦日2》,十八／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1930》,《暦日0》,十九／,みつのとのうし,やふる,,ま日,十し
《1940》,《暦日2》,廿／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1950》,《暦日0》,廿一／,きのとのう,なる,,　,神よし 天火 らうしやく
《1960》,《暦日2》,廿二／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1970》,《暦日0》,廿三／,ひのとのみ,ひらく,,とよう夜ねの二刻ニ入,くゑ日 ちう日
