«1723-0000»,【 カンマ区切りテキスト形式です。】
«1723-1120»,«暦日0»,卅〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1723-1130»,«月序»,四月,小,建,丁巳,斗宿　參　水よう
«1723-1140»,«暦日2»,一〳,かのえいぬ,やふる,金,　,大みやう
«1723-1150»,«暦日0»,二〳,かのとのい,あやふ,,　,●
«1723-1160»,«暦日2»,三〳,みつのえね,なる,木,八せんのはしめ,神よし きしく きこ
«1723-1170»,«暦日0»,四〳,みつのとのうし,なる,,立夏四月せつうしの三刻ニ入|ま日,きこ  つめとりよし
«1723-1180»,«暦日2»,五〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1723-1190»,«暦日0»,六〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1723-1200»,«暦日2»,七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1723-1210»,«暦日0»,八〳,ひのとのみ,たつ,,　,●
«1723-1220»,«暦日2»,九〳,つちのえむま,のそく,火,ま日,くゑ日
«1723-1230»,«暦日0»,十〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1723-1240»,«暦日2»,十一〳,かのえさる,たいら,木,　,大みやう ちいみ 大くわ 地火 わうまう
«1723-1250»,«暦日0»,十二〳,かのとのとり,さたん,,　,十し
«1723-1260»,«暦日2»,十三〳,みつのえいぬ,とる,水,ま日,ふく日
«1723-1270»,«暦日0»,十四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1723-1280»,«暦日2»,十五〳,きのえね,あやふ,金,　
«1723-1290»,«暦日0»,十六〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1723-1300»,«暦日2»,十七〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1723-1310»,«暦日0»,十八〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1723-1320»,«暦日2»,十九〳,つちのえたつ,とつ,木,四月中たつの初刻,五む日 くゑ日
«1723-1330»,«暦日0»,廿〳,つちのとのみ,たつ,,　,●
«1723-1340»,«暦日2»,廿一〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1723-1350»,«暦日0»,廿二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1723-1360»,«暦日2»,廿三〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1723-1370»,«暦日0»,廿四〳,みつのとのとり,さたん,,　,十し
«1723-1380»,«暦日2»,廿五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1723-1390»,«暦日0»,廿六〳,きのとのい,やふる,,　,ちう日
«1723-1400»,«暦日2»,廿七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1723-1410»,«暦日0»,廿八〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1723-1420»,«暦日1»,廿九〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1723-1430»,«月序»,五月,小,建,戊午,牛宿　井　木よう
«1723-1440»,«暦日1»,一〳,つちのとのう,ひらく,土,　,大みやう
«1723-1450»,«食記»,日そく三分
«1723-1460»,«暦日2»,二〳,かのえたつ,とつ,金,　,きしく  けんふくよし
«1723-1470»,«暦日0»,三〳,かのとのみ,たつ,,　,●
«1723-1480»,«暦日2»,四〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1723-1490»,«暦日0»,五〳,みつのとのひつし,のそく,,五月せつむまの五刻ニ入,ふく日  田うへよし
«1723-1500»,«暦日2»,六〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1723-1510»,«暦日0»,七〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1723-1520»,«暦日2»,八〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1723-1530»,«暦日0»,九〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1723-1540»,«暦日2»,十〳,つちのえね,やふる,火,　,●
«1723-1550»,«暦日0»,十一〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1723-1560»,«暦日2»,十二〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1723-1570»,«暦日0»,十三〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1723-1580»,«暦日2»,十四〳,みつのえたつ,ひらく,水,入梅,さい下しき 大みやう 五む日
«1723-1590»,«暦日0»,十五〳,みつのとのみ,とつ,,天一天上,十し
«1723-1600»,«暦日2»,十六〳,きのえむま,たつ,金,　,天しや よろつよし
«1723-1610»,«暦日0»,十七〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1723-1620»,«暦日2»,十八〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1723-1630»,«暦日0»,十九〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1723-1640»,«暦日2»,廿〳,つちのえいぬ,さたん,木,夏至五月中とりの二刻,わうまう  かまぬり 田うへよし
«1723-1650»,«暦日0»,廿一〳,つちのとのい,とる,,　,神よし ちう日
«1723-1660»,«暦日2»,廿二〳,かのえね,やふる,土,　,●
«1723-1670»,«暦日0»,廿三〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1723-1680»,«暦日2»,廿四〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1723-1690»,«暦日0»,廿五〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1723-1700»,«暦日2»,廿六〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1723-1710»,«暦日0»,廿七〳,きのとのみ,とつ,,　,十し
«1723-1720»,«暦日2»,廿八〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1723-1730»,«暦日0»,廿九〳,ひのとのひつし,のそく,,　,神よし ふく日
«1723-1740»,«月序»,六月,大,建,己未,女宿　鬼　金よう
«1723-1750»,«暦日2»,一〳,つちのえさる,みつ,土,はんけしやう,神よし きしく  入学よし
«1723-1760»,«暦日0»,二〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1723-1770»,«暦日2»,三〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1723-1780»,«暦日0»,四〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1723-1790»,«暦日2»,五〳,みつのえね,やふる,木,八せんのはしめ,●
«1723-1800»,«暦日0»,六〳,みつのとのうし,やふる,,六月せついの七刻ニ入|ま日,十し
«1723-1810»,«暦日2»,七〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1723-1820»,«暦日0»,八〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1723-1830»,«暦日2»,九〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1723-1840»,«暦日0»,十〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1723-1850»,«暦日2»,十一〳,つちのえむま,とつ,火,ま日,●
«1723-1860»,«暦日0»,十二〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1723-1870»,«暦日2»,十三〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1723-1880»,«暦日0»,十四〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1723-1890»,«暦日2»,十五〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
