«1754-0000»,【 カンマ区切りテキスト形式です。】
«1754-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1754-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1754-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1754-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1754-0050»,【 外部リンク　】
«1754-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/43 ～ 48】
«1754-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1754h　(翻刻編集終了データを表成型して表示します)】
«1754-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1754ht (翻刻編集中データを表成型して表示します)】
«1754-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1754-0100»,«版元»,出版地○○,出版元□□□,　
«1754-1020»,«暦日0»,十五〳,きのとのうし,おさん,,　,十し
«1754-1030»,«節中»,清明三月せつうしの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1754-1040»,«食記»,月帯そく,　
«1754-1050»,«暦日2»,十六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1754-1060»,«暦日0»,十七〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1754-1070»,«暦日2»,十八〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1754-1080»,«暦日0»,十九〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1754-1090»,«暦日2»,廿〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1754-1100»,«暦日0»,廿一〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1754-1110»,«暦日2»,廿二〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1754-1120»,«暦日0»,廿三〳,みつのとのとり,とる,,　,神よし 大みやう
«1754-1130»,«暦日2»,廿四〳,きのえいぬ,やふる,火,　, くさかりよし
«1754-1140»,«暦日0»,廿五〳,きのとのい,あやふ,,　,●
«1754-1150»,«暦日2»,廿六〳,ひのえね,なる,水,　,きこ
«1754-1160»,«暦日0»,廿七〳,ひのとのうし,おさん,,とよううの三刻ニ入,十し
«1754-1170»,«暦日2»,廿八〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1754-1180»,«暦日0»,廿九〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1754-1190»,«月序»,三月,大,建,戊辰,奎宿　畢　月よう
«1754-1200»,«暦日1»,一〳,かのえたつ,たつ,金,　,くゑ日
«1754-1210»,«節中»,穀雨三月中うの八刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1754-1220»,«暦日1»,二〳,かのとのみ,のそく,金,　,ちう日
«1754-1230»,«暦日2»,三〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1754-1240»,«暦日0»,四〳,みつのとのひつし,たいら,,　,めつもん 地火
«1754-1250»,«暦日2»,五〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1754-1260»,«暦日0»,六〳,きのとのとり,とる,,　,わうまう  くさかりよし
«1754-1270»,«暦日2»,七〳,ひのえいぬ,やふる,土,　,五む日
«1754-1280»,«暦日0»,八〳,ひのとのい,あやふ,,　,●
