«1714-0000»,【 カンマ区切りテキスト形式です。】
«1714-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1714-0950»,«暦日0»,十四〳,きのとのう,とつ,,　,わうまう  ものたちよし
«1714-0960»,«暦日2»,十五〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1714-0970»,«暦日0»,十六〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1714-0980»,«暦日2»,十七〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1714-0990»,«暦日0»,十八〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1714-1000»,«暦日2»,十九〳,かのえさる,さたん,木,　,大みやう くゑ日
«1714-1010»,«暦日0»,廿〳,かのとのとり,とる,,八十八や,神よし 大みやう  井ほりよし
«1714-1020»,«暦日2»,廿一〳,みつのえいぬ,やふる,水,ま日
«1714-1030»,«暦日0»,廿二〳,みつのとのい,あやふ,,八せんのおはり,●
«1714-1040»,«暦日2»,廿三〳,きのえね,なる,金,　,くゑ日 きこ
«1714-1050»,«暦日0»,廿四〳,きのとのうし,なる,,立夏四月せついの三刻ニ入,きこ  かまぬり  つめとりよし
«1714-1060»,«暦日2»,廿五〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1714-1070»,«暦日0»,廿六〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1714-1080»,«暦日2»,廿七〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1714-1090»,«暦日0»,廿八〳,つちのとのみ,たつ,,　,●
«1714-1100»,«暦日2»,廿九〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1714-1110»,«暦日0»,卅〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1714-1120»,«月序»,四月,小,建,己巳,危宿　畢　月よう
«1714-1130»,«暦日2»,一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1714-1140»,«暦日0»,二〳,みつのとのとり,さたん,,　,十し
«1714-1150»,«暦日2»,三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1714-1160»,«暦日0»,四〳,きのとのい,やふる,,　,ちう日
«1714-1170»,«暦日2»,五〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1714-1180»,«暦日0»,六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1714-1190»,«暦日2»,七〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1714-1200»,«暦日0»,八〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1714-1210»,«暦日2»,九〳,かのえたつ,とつ,金,　, けんふくよし
«1714-1220»,«暦日0»,十〳,かのとのみ,たつ,,四月中うしの八刻,●
«1714-1230»,«暦日2»,十一〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1714-1240»,«暦日0»,十二〳,みつのとのひつし,みつ,,　,くゑ日
«1714-1250»,«暦日2»,十三〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1714-1260»,«暦日0»,十四〳,きのとのとり,さたん,,　,十し
«1714-1270»,«暦日2»,十五〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1714-1280»,«暦日0»,十六〳,ひのとのい,やふる,,　,大みやう ちう日
«1714-1290»,«暦日2»,十七〳,つちのえね,あやふ,火,　, けんふくよし
«1714-1300»,«暦日0»,十八〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1714-1310»,«暦日2»,十九〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1714-1320»,«暦日0»,廿〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1714-1330»,«暦日2»,廿一〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1714-1340»,«暦日0»,廿二〳,みつのとのみ,たつ,,天一天上,●
«1714-1350»,«暦日2»,廿三〳,きのえむま,のそく,金,　,天しや よろつよし
«1714-1360»,«暦日0»,廿四〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1714-1370»,«暦日2»,廿五〳,ひのえさる,みつ,火,五月せつたつの五刻ニ入,神よし  入学 いちたちよし
«1714-1380»,«暦日0»,廿六〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1714-1390»,«暦日2»,廿七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
