«1860-0000»,【 カンマ区切りテキスト形式です。】
«1860-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1860-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1860-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1860-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1860-0050»,【 外部リンク　】
«1860-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/64 ～ 73】
«1860-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1860h　(翻刻編集終了データを表成型して表示します)】
«1860-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1860ht (翻刻編集中データを表成型して表示します)】
«1860-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1860-0100»,«版元»,出版地○○,出版元□□□,　
«1860-1050»,«暦日2»,十八〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1860-1060»,«暦日0»,十九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1860-1070»,«暦日2»,廿〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1860-1080»,«暦日0»,廿一〳,きのとのとり,とる,,　,神よし  くさかりよし
«1860-1090»,«暦日2»,廿二〳,ひのえいぬ,やふる,土,　,五む日
«1860-1100»,«暦日0»,廿三〳,ひのとのい,あやふ,,　,●
«1860-1110»,«暦日2»,廿四〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1860-1120»,«暦日0»,廿五〳,つちのとのうし,おさん,,　,十し
«1860-1130»,«暦日2»,廿六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1860-1140»,«暦日0»,廿七〳,かのとのう,とつ,,とよう今暁八時二分ニ入,神よし  わたまし ものたちよし
«1860-1150»,«暦日2»,廿八〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1860-1160»,«暦日0»,廿九〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1860-1170»,«暦日1»,卅〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1860-1180»,«節中»,穀雨三月中明六時六分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1860-1190»,«月序»,閏三月,大,隨節用之,女　土よう
«1860-1200»,«暦日1»,一〳,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
«1860-1210»,«暦日2»,二〳,ひのえさる,さたん,火,　,くゑ日
«1860-1220»,«暦日0»,三〳,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
«1860-1230»,«暦日2»,四〳,つちのえいぬ,やふる,木,　,ふく日 わうまう
«1860-1240»,«暦日0»,五〳,つちのとのい,あやふ,,　,●
«1860-1250»,«暦日2»,六〳,かのえね,なる,土,　,神よし きこ
«1860-1260»,«暦日0»,七〳,かのとのうし,おさん,,　,十し
«1860-1270»,«暦日2»,八〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1860-1280»,«暦日0»,九〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1860-1290»,«暦日2»,十〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1860-1300»,«暦日0»,十一〳,きのとのみ,のそく,,八十八や,神よし 大みやう 母倉 ちう日  ふねのりよし
«1860-1310»,«暦日2»,十二〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1860-1320»,«暦日0»,十三〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1860-1330»,«暦日2»,十四〳,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
«1860-1340»,«暦日0»,十五〳,つちのとのとり,さたん,,　,十し
«1860-1350»,«節中»,立夏四月せつ夕七時ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1860-1360»,«暦日2»,十六〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1860-1370»,«暦日0»,十七〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1860-1380»,«暦日2»,十八〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1860-1390»,«暦日0»,十九〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1860-1400»,«暦日2»,廿〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1860-1410»,«暦日0»,廿一〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1860-1420»,«暦日2»,廿二〳,ひのえたつ,とつ,土,ま日,大みやう ふく日 わうまう
«1860-1430»,«暦日0»,廿三〳,ひのとのみ,たつ,,　,●
