《1748-0000》,# カンマ区切りテキスト形式です。
《1748-1820》,《暦日0》,廿八／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1748-1830》,《暦日2》,廿九／,みつのえね,やふる,木,八せんのはしめ,●
《1748-1840》,《暦日0》,卅／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1748-1850》,《月序》,六月,小,建,己未,亢宿　參　水よう
《1748-1860》,《暦日2》,一／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1748-1870》,《暦日0》,二／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1748-1880》,《暦日2》,三／,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
《1748-1890》,《暦日0》,四／,ひのとのみ,とつ,,　,十し
《1748-1900》,《暦日2》,五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1748-1910》,《暦日0》,六／,つちのとのひつし,のそく,,はんけしやう,神よし 大みやう  みそすつくり 田うへよし
《1748-1920》,《暦日2》,七／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1748-1930》,《暦日0》,八／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1748-1940》,《暦日2》,九／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1748-1950》,《暦日0》,十／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1748-1960》,《暦日1》,十一／,きのえね,とる,金,　,きこ 下しきたつの時
《1748-1970》,《節中》,小暑六月せつ夜ねの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1748-1980》,《暦日1》,十二／,きのとのうし,やふる,金,　,十し
《1748-1990》,《暦日2》,十三／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1748-2000》,《暦日0》,十四／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1748-2010》,《暦日2》,十五／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1748-2020》,《暦日0》,十六／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1748-2030》,《暦日2》,十七／,かのえむま,とつ,土,初伏,●
《1748-2040》,《暦日0》,十八／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1748-2050》,《暦日2》,十九／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1748-2060》,《暦日0》,廿／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1748-2070》,《暦日2》,廿一／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1748-2080》,《暦日0》,廿二／,きのとのい,さたん,,　,ちう日
《1748-2090》,《暦日2》,廿三／,ひのえね,とる,水,とよう翌とらの四刻ニ入,きこ 下しきたつの時
《1748-2100》,《暦日0》,廿四／,ひのとのうし,やふる,,　,十し
《1748-2110》,《暦日2》,廿五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1748-2120》,《暦日0》,廿六／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
