《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1120》,《暦日0》,廿五／,ひのとのい,あやふ,,　,●
《1130》,《暦日2》,廿六／,つちのえね,なる,火,　,母倉 きこ ふく日
《1140》,《暦日0》,廿七／,つちのとのうし,おさん,,八十八や,十し
《1150》,《暦日2》,廿八／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1160》,《暦日0》,廿九／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1170》,《暦日1》,卅／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1180》,《月序》,四月,小,建,丁巳,房宿　觜　火よう
《1190》,《暦日1》,一／,みつのとのみ,たつ,水,天一天上,●
《1200》,《節中》,立夏四月せついぬの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1210》,《暦日2》,二／,きのえむま,のそく,金,　,天しや よろつよし
《1220》,《暦日0》,三／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1230》,《暦日2》,四／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1240》,《暦日0》,五／,ひのとのとり,さたん,,　,十し
《1250》,《暦日2》,六／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1260》,《暦日0》,七／,つちのとのい,やふる,,　,くゑ日 ちう日
《1270》,《暦日2》,八／,かのえね,あやふ,土,　,月とく わうまう  わたまし たねまきよし
《1280》,《暦日0》,九／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1290》,《暦日2》,十／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1300》,《暦日0》,十一／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1310》,《暦日2》,十二／,きのえたつ,とつ,火,　,大みやう
《1320》,《暦日0》,十三／,きのとのみ,たつ,,　,●
《1330》,《暦日2》,十四／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1340》,《暦日0》,十五／,ひのとのひつし,みつ,,　,くゑ日
《1350》,《暦日2》,十六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1360》,《暦日0》,十七／,つちのとのとり,さたん,,　,十し
《1370》,《節中》,小満四月中今暁うしの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1380》,《暦日2》,十八／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1390》,《暦日0》,十九／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1400》,《暦日2》,廿／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1410》,《暦日0》,廿一／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1420》,《暦日2》,廿二／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1430》,《暦日0》,廿三／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1440》,《暦日2》,廿四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1450》,《暦日0》,廿五／,ひのとのみ,たつ,,　,●
《1460》,《暦日2》,廿六／,つちのえむま,のそく,火,ま日,くゑ日
《1470》,《暦日0》,廿七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1480》,《暦日2》,廿八／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1490》,《暦日0》,廿九／,かのとのとり,さたん,,　,十し
《1500》,《月序》,五月,大,建,戊午,心宿　參　水よう
《1510》,《暦日1》,一／,みつのえいぬ,とる,水,ま日,ふく日
《1520》,《食記》,日帯そく
《1530》,《暦日1》,二／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1540》,《暦日1》,三／,きのえね,やふる,金,　,●
《1550》,《節中》,芒種五月せつたつの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1560》,《暦日1》,四／,きのとのうし,あやふ,金,　,神よし 天おん  つめとりよし
《1570》,《暦日2》,五／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1580》,《暦日0》,六／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1590》,《暦日2》,七／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1600》,《暦日0》,八／,つちのとのみ,とつ,,　,十し
《1610》,《暦日2》,九／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1620》,《暦日0》,十／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1630》,《暦日2》,十一／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1640》,《暦日0》,十二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1650》,《暦日2》,十三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1660》,《暦日0》,十四／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1670》,《暦日2》,十五／,ひのえね,やふる,水,　,●
《1680》,《暦日0》,十六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1690》,《暦日2》,十七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1700》,《暦日0》,十八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ わうまう
《1710》,《節中》,夏至五月中むまの六刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1720》,《暦日2》,十九／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1730》,《暦日0》,廿／,かのとのみ,とつ,,　,十し
《1740》,《暦日2》,廿一／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1750》,《暦日0》,廿二／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1760》,《暦日2》,廿三／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1770》,《暦日0》,廿四／,きのとのとり,たいら,,　,神よし めつもん 地火
《1780》,《暦日2》,廿五／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1790》,《暦日0》,廿六／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1800》,《暦日2》,廿七／,つちのえね,やふる,火,　,●
《1810》,《暦日0》,廿八／,つちのとのうし,あやふ,,はんけしやう, 田うへ  つめとりよし
《1820》,《暦日2》,廿九／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1830》,《暦日0》,卅／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1840》,《月序》,六月,小,建,己未,尾宿　鬼　金よう
《1850》,《暦日2》,一／,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
《1860》,《暦日0》,二／,みつのとのみ,とつ,,天一天上,十し
《1870》,《暦日1》,三／,きのえむま,とつ,金,　,●
《1880》,《節中》,小暑六月せつとりの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1890》,《暦日1》,四／,きのとのひつし,たつ,金,　,大みやう 五む日
