《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2090》,《暦日2》,廿五／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2100》,《暦日0》,廿六／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2110》,《暦日2》,廿七／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2120》,《暦日0》,廿八／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2130》,《暦日1》,廿九／,かのえむま,とつ,土,　,●
《2140》,《月序》,七月,大,建,戊申,奎宿　亢　金よう
《2150》,《暦日1》,一／,かのとのひつし,とつ,土,　,大みやう 母倉  ものたちよし
《2160》,《節中》,立秋七月せつ今暁ねの六刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2170》,《暦日2》,二／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2180》,《暦日0》,三／,みつのとのとり,のそく,,　,十し
《2190》,《暦日2》,四／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2200》,《暦日0》,五／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2210》,《暦日2》,六／,ひのえね,さたん,水,　, 田かりよし
《2220》,《暦日0》,七／,ひのとのうし,とる,,　,●
《2230》,《暦日2》,八／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2240》,《暦日0》,九／,つちのとのう,あやふ,,　,大みやう 天おん わうまう  みそすつくりよし
《2250》,《暦日2》,十／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《2260》,《暦日0》,十一／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2270》,《暦日2》,十二／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2280》,《暦日0》,十三／,みつのとのひつし,とつ,,　,天おん 母倉
《2290》,《暦日2》,十四／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2300》,《暦日0》,十五／,きのとのとり,のそく,,　,十し
《2310》,《暦日1》,十六／,ひのえいぬ,みつ,土,　,母倉 五む日
《2320》,《節中》,処暑七月中うの三刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2330》,《食記》,月そく皆既
《2340》,《暦日1》,十七／,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
《2350》,《暦日2》,十八／,つちのえね,さたん,火,　, けんふく くさかりよし
《2360》,《暦日0》,十九／,つちのとのうし,とる,,　,●
《2370》,《暦日2》,廿／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2380》,《暦日0》,廿一／,かのとのう,あやふ,,　,神よし
《2390》,《暦日2》,廿二／,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
《2400》,《暦日0》,廿三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2410》,《暦日2》,廿四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2420》,《暦日0》,廿五／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2430》,《暦日2》,廿六／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2440》,《暦日0》,廿七／,ひのとのとり,のそく,,二百十日,十し
《2450》,《暦日2》,廿八／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2460》,《暦日0》,廿九／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2470》,《暦日1》,卅／,かのえね,さたん,土,　,神よし ふく日
《2480》,《月序》,八月,小,建,己酉,婁宿　房　日よう
《2490》,《暦日1》,一／,かのとのうし,さたん,土,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2500》,《節中》,白露八月せつみの八刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2510》,《暦日2》,二／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2520》,《暦日0》,三／,みつのとのう,やふる,,　, くらたて 田かりよし
《2530》,《暦日2》,四／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2540》,《暦日0》,五／,きのとのみ,なる,,　,十し
《2550》,《暦日2》,六／,ひのえむま,おさん,水,　,大みやう めつもん
《2560》,《暦日0》,七／,ひのとのひつし,ひらく,,二百廿日,●
《2570》,《暦日2》,八／,つちのえさる,とつ,土,　,天しや よろつよし
《2580》,《暦日0》,九／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2590》,《暦日2》,十／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
