«1803-0000»,【 カンマ区切りテキスト形式です。】
«1803-0770»,«暦日2»,廿二〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1803-0780»,«暦日0»,廿三〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1803-0790»,«暦日2»,廿四〳,かのえさる,とる,木,　,神よし 大みやう
«1803-0800»,«暦日0»,廿五〳,かのとのとり,やふる,,ひかんニなる,大みやう くゑ日 ふく日
«1803-0810»,«暦日2»,廿六〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1803-0820»,«暦日0»,廿七〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1803-0830»,«暦日2»,廿八〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん わうまう
«1803-0840»,«暦日0»,廿九〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1803-0850»,«月序»,二月,大,建,乙卯,壁宿　參　水よう
«1803-0860»,«暦日1»,一〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1803-0870»,«節中»,春分二月中いぬの八刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1803-0880»,«暦日1»,二〳,ひのとのう,たつ,火,　,天おん 天火 らうしやく
«1803-0890»,«暦日2»,三〳,つちのえたつ,のそく,木,社日,●
«1803-0900»,«暦日0»,四〳,つちのとのみ,みつ,,　,十し
«1803-0910»,«暦日2»,五〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1803-0920»,«暦日0»,六〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1803-0930»,«暦日2»,七〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1803-0940»,«暦日0»,八〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1803-0950»,«暦日2»,九〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1803-0960»,«暦日0»,十〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1803-0970»,«暦日2»,十一〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1803-0980»,«暦日0»,十二〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1803-0990»,«暦日2»,十三〳,つちのえとら,とつ,土,　,天しや よろつよし
«1803-1000»,«暦日0»,十四〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1803-1010»,«暦日2»,十五〳,かのえたつ,のそく,金,　,●
«1803-1020»,«暦日0»,十六〳,かのとのみ,みつ,,　,十し
«1803-1030»,«暦日1»,十七〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1803-1040»,«節中»,清明三月せつ今暁うしの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1803-1050»,«暦日1»,十八〳,みつのとのひつし,たいら,木,　,天おん めつもん 地火
«1803-1060»,«暦日2»,十九〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1803-1070»,«暦日0»,廿〳,きのとのとり,とる,,　,神よし  くさかりよし
«1803-1080»,«暦日2»,廿一〳,ひのえいぬ,やふる,土,　,五む日
«1803-1090»,«暦日0»,廿二〳,ひのとのい,あやふ,,　,●
«1803-1100»,«暦日2»,廿三〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1803-1110»,«暦日0»,廿四〳,つちのとのうし,おさん,,　,十し
«1803-1120»,«暦日2»,廿五〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1803-1130»,«暦日0»,廿六〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1803-1140»,«暦日2»,廿七〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1803-1150»,«暦日0»,廿八〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1803-1160»,«暦日2»,廿九〳,きのえむま,みつ,金,とよううの六刻ニ入,神よし 母倉 天火 らうしやく  ふねのりよし
«1803-1170»,«暦日0»,卅〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1803-1180»,«月序»,三月,小,建,丙辰,奎宿　鬼　金よう
«1803-1190»,«暦日2»,一〳,ひのえさる,さたん,火,　,きしく くゑ日
«1803-1200»,«暦日0»,二〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
