«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-1480»,«暦日2»,廿八〳,つちのえね,あやふ,火,　, けんふくよし
«1783-1490»,«暦日0»,廿九〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1783-1500»,«暦日1»,卅〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1783-1510»,«月序»,五月,大,建,戊午,角宿　女　土よう
«1783-1520»,«暦日1»,一〳,かのとのう,ひらく,木,　,神よし 母倉  やたて ものたちよし
«1783-1530»,«暦日2»,二〳,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
«1783-1540»,«暦日0»,三〳,みつのとのみ,たつ,,天一天上,●
«1783-1550»,«暦日2»,四〳,きのえむま,のそく,金,　,天しや よろつよし
«1783-1560»,«暦日0»,五〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1783-1570»,«暦日2»,六〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1783-1580»,«暦日0»,七〳,ひのとのとり,さたん,,　,十し
«1783-1590»,«暦日1»,八〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1783-1600»,«節中»,芒種五月せつ今暁うしの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1783-1610»,«暦日1»,九〳,つちのとのい,とる,木,　,神よし ちう日
«1783-1620»,«暦日2»,十〳,かのえね,やふる,土,　,●
«1783-1630»,«暦日0»,十一〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1783-1640»,«暦日2»,十二〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1783-1650»,«暦日0»,十三〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1783-1660»,«暦日2»,十四〳,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
«1783-1670»,«暦日0»,十五〳,きのとのみ,とつ,,　,十し
«1783-1680»,«暦日2»,十六〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1783-1690»,«暦日0»,十七〳,ひのとのひつし,のそく,,　,神よし ふく日
«1783-1700»,«暦日2»,十八〳,つちのえさる,みつ,土,　,神よし  入学よし
«1783-1710»,«暦日0»,十九〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1783-1720»,«暦日2»,廿〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1783-1730»,«暦日0»,廿一〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
