«1707-0000»,【 カンマ区切りテキスト形式です。】
«1707-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1707-0950»,«暦日2»,十三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1707-0960»,«暦日0»,十四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1707-0970»,«暦日2»,十五〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1707-0980»,«暦日0»,十六〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1707-0990»,«暦日2»,十七〳,かのえむま,みつ,土,とよういの七刻ニ入,神よし 天火 らうしやく  みそすつくりよし
«1707-1000»,«暦日0»,十八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1707-1010»,«暦日2»,十九〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1707-1020»,«暦日0»,廿〳,みつのとのとり,とる,,三月中夜ねの三刻,神よし 大みやう
«1707-1030»,«暦日2»,廿一〳,きのえいぬ,やふる,火,　, くさかりよし
«1707-1040»,«暦日0»,廿二〳,きのとのい,あやふ,,　,●
«1707-1050»,«暦日2»,廿三〳,ひのえね,なる,水,　,きこ
«1707-1060»,«暦日0»,廿四〳,ひのとのうし,おさん,,　,十し
«1707-1070»,«暦日2»,廿五〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1707-1080»,«暦日0»,廿六〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1707-1090»,«暦日2»,廿七〳,かのえたつ,たつ,金,　,きしく くゑ日
«1707-1100»,«暦日0»,廿八〳,かのとのみ,のそく,,　,ちう日
«1707-1110»,«暦日1»,廿九〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1707-1120»,«月序»,四月,小,建,乙巳,危宿　張　月よう
«1707-1130»,«暦日1»,一〳,みつのとのひつし,たいら,木,　,めつもん 地火
«1707-1140»,«暦日2»,二〳,きのえさる,さたん,水,八十八や|十方くれニ入,大みやう くゑ日
«1707-1150»,«暦日0»,三〳,きのとのとり,とる,,　,神よし  くさかりよし
«1707-1160»,«暦日2»,四〳,ひのえいぬ,やふる,土,　,五む日
«1707-1170»,«暦日0»,五〳,ひのとのい,あやふ,,　,●
«1707-1180»,«暦日2»,六〳,つちのえね,なる,火,　,きこ ふく日
«1707-1190»,«暦日0»,七〳,つちのとのうし,なる,,立夏四月せつうの初刻ニ入,きこ  つめとりよし
«1707-1200»,«暦日2»,八〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1707-1210»,«暦日0»,九〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1707-1220»,«暦日2»,十〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1707-1230»,«暦日0»,十一〳,みつのとのみ,たつ,,天一天上,●
«1707-1240»,«暦日2»,十二〳,きのえむま,のそく,金,　,天しや よろつよし
«1707-1250»,«暦日0»,十三〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1707-1260»,«暦日2»,十四〳,ひのえさる,たいら,火,　,ちいみ 大くわ ふく日 地火 わうまう  入学よし
«1707-1270»,«暦日0»,十五〳,ひのとのとり,さたん,,　,十し
«1707-1280»,«暦日2»,十六〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1707-1290»,«暦日0»,十七〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1707-1300»,«暦日2»,十八〳,かのえね,あやふ,土,　,さい下しき 神よし  わたまし たねまきよし
«1707-1310»,«暦日0»,十九〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1707-1320»,«暦日2»,廿〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1707-1330»,«暦日0»,廿一〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1707-1340»,«暦日2»,廿二〳,きのえたつ,とつ,火,四月中みの五刻,大みやう
«1707-1350»,«暦日0»,廿三〳,きのとのみ,たつ,,　,●
«1707-1360»,«暦日2»,廿四〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1707-1370»,«暦日0»,廿五〳,ひのとのひつし,みつ,,　,くゑ日
«1707-1380»,«暦日2»,廿六〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1707-1390»,«暦日0»,廿七〳,つちのとのとり,さたん,,　,十し
«1707-1400»,«暦日2»,廿八〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1707-1410»,«暦日0»,廿九〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1707-1420»,«月序»,五月,大,建,丙午,室宿　翼　火よう
«1707-1430»,«暦日2»,一〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1707-1440»,«暦日0»,二〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1707-1450»,«暦日2»,三〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1707-1460»,«暦日0»,四〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1707-1470»,«暦日2»,五〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1707-1480»,«暦日0»,六〳,ひのとのみ,たつ,,　,●
«1707-1490»,«暦日2»,七〳,つちのえむま,のそく,火,ま日,くゑ日
«1707-1500»,«暦日0»,八〳,つちのとのひつし,のそく,,五月せつさるの二刻ニ入,神よし 大みやう  みそすつくり 田うへよし
«1707-1510»,«暦日2»,九〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1707-1520»,«暦日0»,十〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1707-1530»,«暦日2»,十一〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
