《1687-0000》,# カンマ区切りテキスト形式です。
《1687-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1687-1080》,《暦日2》,廿六／,きのえたつ,とつ,火,立夏四月せつみの初刻ニ入,大みやう
《1687-1090》,《暦日0》,廿七／,きのとのみ,たつ,,　,●
《1687-1100》,《暦日2》,廿八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1687-1110》,《暦日0》,廿九／,ひのとのひつし,みつ,,　,くゑ日
《1687-1120》,《月序》,四月,大,建,乙巳,柳宿　虛　日よう
《1687-1130》,《暦日2》,一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1687-1140》,《暦日0》,二／,つちのとのとり,さたん,,　,十し
《1687-1150》,《暦日2》,三／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1687-1160》,《暦日0》,四／,かのとのい,やふる,,　,大みやう ちう日 わうまう  さひらきよし
《1687-1170》,《暦日2》,五／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1687-1180》,《暦日0》,六／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1687-1190》,《暦日2》,七／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1687-1200》,《暦日0》,八／,きのとのう,ひらく,,　,神よし  さひらきよし
《1687-1210》,《暦日2》,九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1687-1220》,《暦日0》,十／,ひのとのみ,たつ,,　,●
《1687-1230》,《暦日2》,十一／,つちのえむま,のそく,火,ま日,くゑ日
《1687-1240》,《暦日0》,十二／,つちのとのひつし,みつ,,四月中ひつしの五刻,大みやう くゑ日
《1687-1250》,《暦日2》,十三／,かのえさる,たいら,木,　,神よし きしく 大みやう ちいみ 大くわ 地火
《1687-1260》,《暦日0》,十四／,かのとのとり,さたん,,　,十し
《1687-1270》,《暦日2》,十五／,みつのえいぬ,とる,水,ま日,ふく日
《1687-1280》,《暦日0》,十六／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1687-1290》,《暦日2》,十七／,きのえね,あやふ,金,　
《1687-1300》,《暦日0》,十八／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1687-1310》,《暦日2》,十九／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1687-1320》,《暦日0》,廿／,ひのとのう,ひらく,,　,神よし  わたましよし
《1687-1330》,《暦日2》,廿一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1687-1340》,《暦日0》,廿二／,つちのとのみ,たつ,,　,●
《1687-1350》,《暦日2》,廿三／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1687-1360》,《暦日0》,廿四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1687-1370》,《暦日2》,廿五／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1687-1380》,《暦日0》,廿六／,みつのとのとり,さたん,,　,十し
《1687-1390》,《暦日2》,廿七／,きのえいぬ,さたん,火,五月せついぬの二刻ニ入, わたまし くらたてよし
《1687-1400》,《暦日0》,廿八／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1687-1410》,《暦日2》,廿九／,ひのえね,やふる,水,　,●
《1687-1420》,《暦日0》,卅／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1687-1430》,《月序》,五月,小,建,丙午,星宿　室　火よう
《1687-1440》,《暦日2》,一／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1687-1450》,《暦日0》,二／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1687-1460》,《暦日2》,三／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1687-1470》,《暦日0》,四／,かのとのみ,とつ,,　,十し
《1687-1480》,《暦日2》,五／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1687-1490》,《暦日0》,六／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1687-1500》,《暦日2》,七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1687-1510》,《暦日0》,八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1687-1520》,《暦日2》,九／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1687-1530》,《暦日0》,十／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1687-1540》,《暦日2》,十一／,つちのえね,やふる,火,　,●
《1687-1550》,《暦日0》,十二／,つちのとのうし,あやふ,,　,わうまう  田うへ  つめとりよし
《1687-1560》,《暦日2》,十三／,かのえとら,なる,木,夏至五月中ねの七刻,きこ  井ほり  つめとりよし
《1687-1570》,《暦日0》,十四／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1687-1580》,《暦日2》,十五／,みつのえたつ,ひらく,水,　,さい下しき 大みやう 五む日
《1687-1590》,《暦日0》,十六／,みつのとのみ,とつ,,天一天上,十し
《1687-1600》,《暦日2》,十七／,きのえむま,たつ,金,　,天しや よろつよし
《1687-1610》,《暦日0》,十八／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1687-1620》,《暦日2》,十九／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1687-1630》,《暦日0》,廿／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1687-1640》,《暦日2》,廿一／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1687-1650》,《暦日0》,廿二／,つちのとのい,とる,,　,神よし ちう日
《1687-1660》,《暦日2》,廿三／,かのえね,やふる,土,はんけしやう,●
《1687-1670》,《暦日0》,廿四／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1687-1680》,《暦日2》,廿五／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1687-1690》,《暦日0》,廿六／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1687-1700》,《暦日2》,廿七／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1687-1710》,《暦日0》,廿八／,きのとのみ,ひらく,,六月せつうの四刻ニ入,大みやう ちう日
《1687-1720》,《暦日1》,廿九／,ひのえむま,とつ,水,　,●
《1687-1730》,《月序》,六月,大,建,丁未,張宿　壁　水よう
《1687-1740》,《暦日1》,一／,ひのとのひつし,たつ,水,　,くゑ日
《1687-1750》,《暦日2》,二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1687-1760》,《暦日0》,三／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1687-1770》,《暦日2》,四／,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
《1687-1780》,《暦日0》,五／,かのとのい,さたん,,　,大みやう ちう日
《1687-1790》,《暦日2》,六／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1687-1800》,《暦日0》,七／,みつのとのうし,やふる,,ま日,十し
《1687-1810》,《暦日2》,八／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1687-1820》,《暦日0》,九／,きのとのう,なる,,　,神よし 天火 らうしやく
