«1746-1500»,«暦日2»,廿七〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1746-1510»,«暦日0»,廿八〳,みつのとのみ,とつ,,天一天上,十し
«1746-1520»,«暦日2»,廿九〳,きのえむま,たつ,金,　,天しや よろつよし
«1746-1530»,«暦日0»,卅〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1746-1540»,«月序»,五月,小,建,甲午,心宿　虛　日よう
«1746-1550»,«暦日2»,一〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1746-1560»,«暦日0»,二〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1746-1570»,«暦日2»,三〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1746-1580»,«暦日0»,四〳,つちのとのい,とる,,　,ちう日 わうまう
«1746-1590»,«節中»,夏至五月中たつの初刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1746-1600»,«暦日2»,五〳,かのえね,やふる,土,　,●
«1746-1610»,«暦日0»,六〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1746-1620»,«暦日2»,七〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1746-1630»,«暦日0»,八〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1746-1640»,«暦日2»,九〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1746-1650»,«暦日0»,十〳,きのとのみ,とつ,,　,十し
«1746-1660»,«暦日2»,十一〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1746-1670»,«暦日0»,十二〳,ひのとのひつし,のそく,,　,神よし ふく日
«1746-1680»,«暦日2»,十三〳,つちのえさる,みつ,土,　,神よし きしく  入学よし
«1746-1690»,«暦日0»,十四〳,つちのとのとり,たいら,,はんけしやう,神よし 大みやう めつもん 地火
«1746-1700»,«暦日2»,十五〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1746-1710»,«暦日0»,十六〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1746-1720»,«暦日2»,十七〳,みつのえね,やふる,木,八せんのはしめ,●
«1746-1730»,«暦日0»,十八〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1746-1740»,«暦日1»,十九〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1746-1750»,«節中»,小暑六月せつむまの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1746-1760»,«暦日1»,廿〳,きのとのう,なる,水,　,神よし 天火 らうしやく
«1746-1770»,«暦日2»,廿一〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1746-1780»,«暦日0»,廿二〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1746-1790»,«暦日2»,廿三〳,つちのえむま,とつ,火,ま日,●
«1746-1800»,«暦日0»,廿四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1746-1810»,«暦日2»,廿五〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1746-1820»,«暦日0»,廿六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1746-1830»,«暦日2»,廿七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1746-1840»,«暦日0»,廿八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1746-1850»,«暦日1»,廿九〳,きのえね,とる,金,　,きこ 下しきたつの時
«1746-1860»,«月序»,六月,大,建,乙未,尾宿　危　月よう
«1746-1870»,«暦日1»,一〳,きのとのうし,やふる,金,　,十し
«1746-1880»,«暦日2»,二〳,ひのえとら,あやふ,火,とようさるの六刻ニ入, わたまし  つめとりよし
«1746-1890»,«暦日0»,三〳,ひのとのう,なる,,　,さい下しき 神よし 天火 らうしやく
«1746-1900»,«暦日2»,四〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1746-1910»,«暦日0»,五〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1746-1920»,«節中»,大暑六月中とりの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1746-1930»,«暦日2»,六〳,かのえむま,とつ,土,中伏,●
«1746-1940»,«暦日0»,七〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1746-1950»,«暦日2»,八〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1746-1960»,«暦日0»,九〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1746-1970»,«暦日2»,十〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1746-1980»,«暦日0»,十一〳,きのとのい,さたん,,　,ちう日
«1746-1990»,«暦日2»,十二〳,ひのえね,とる,水,　,きしく きこ 下しきたつの時
«1746-2000»,«暦日0»,十三〳,ひのとのうし,やふる,,　,十し
«1746-2010»,«暦日2»,十四〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1746-2020»,«暦日0»,十五〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1746-2030»,«暦日2»,十六〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
«1746-2040»,«暦日0»,十七〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1746-2050»,«暦日2»,十八〳,みつのえむま,とつ,木,　,●
«1746-2060»,«暦日0»,十九〳,みつのとのひつし,たつ,,　, たねまきよし
«1746-2070»,«暦日1»,廿〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1746-2080»,«節中»,立秋七月せついの七刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1746-2090»,«暦日1»,廿一〳,きのとのとり,のそく,水,　,十し
