《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0930》,《暦日2》,六／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0940》,《暦日0》,七／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《0950》,《暦日2》,八／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0960》,《暦日0》,九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0970》,《暦日2》,十／,ひのえさる,さたん,火,　,くゑ日
《0980》,《暦日0》,十一／,ひのとのとり,とる,,とよう今暁とらの五刻ニ入,神よし 月とく  いちたちよし
《0990》,《暦日2》,十二／,つちのえいぬ,やふる,木,　,ふく日
《1000》,《暦日0》,十三／,つちのとのい,あやふ,,　,●
《1010》,《暦日1》,十四／,かのえね,なる,土,　,さい下しき 神よし きこ
《1020》,《節中》,穀雨三月中うの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1030》,《暦日1》,十五／,かのとのうし,おさん,土,　,十し
《1040》,《暦日2》,十六／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1050》,《暦日0》,十七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1060》,《暦日2》,十八／,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
《1070》,《暦日0》,十九／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1080》,《暦日2》,廿／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1090》,《暦日0》,廿一／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1100》,《暦日2》,廿二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1110》,《暦日0》,廿三／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1120》,《暦日2》,廿四／,かのえいぬ,やふる,金,　,大みやう 天おん
《1130》,《暦日0》,廿五／,かのとのい,あやふ,,八十八や,●
《1140》,《暦日2》,廿六／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1150》,《暦日0》,廿七／,みつのとのうし,おさん,,ま日,十し
《1160》,《暦日2》,廿八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1170》,《暦日0》,廿九／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1180》,《節中》,立夏四月せつみの六刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1190》,《月序》,四月,大,建,辛巳,觜宿　翼　火よう
《1200》,《暦日2》,一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1210》,《暦日0》,二／,ひのとのみ,たつ,,　,●
《1220》,《暦日2》,三／,つちのえむま,のそく,火,ま日,くゑ日
《1230》,《暦日0》,四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1240》,《暦日2》,五／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1250》,《暦日0》,六／,かのとのとり,さたん,,　,十し
《1260》,《暦日2》,七／,みつのえいぬ,とる,水,ま日,ふく日 わうまう
《1270》,《暦日0》,八／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1280》,《暦日2》,九／,きのえね,あやふ,金,　,天おん
《1290》,《暦日0》,十／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1300》,《暦日2》,十一／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1310》,《暦日0》,十二／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1320》,《暦日2》,十三／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1330》,《暦日0》,十四／,つちのとのみ,たつ,,　,●
《1340》,《暦日1》,十五／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1350》,《節中》,小満四月中さるの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1360》,《暦日1》,十六／,かのとのひつし,みつ,土,　,大みやう くゑ日
《1370》,《暦日2》,十七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1380》,《暦日0》,十八／,みつのとのとり,さたん,,　,十し
《1390》,《暦日2》,十九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1400》,《暦日0》,廿／,きのとのい,やふる,,　,月とく ちう日
《1410》,《暦日2》,廿一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1420》,《暦日0》,廿二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1430》,《暦日2》,廿三／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1440》,《暦日0》,廿四／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1450》,《暦日2》,廿五／,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
《1460》,《暦日0》,廿六／,かのとのみ,たつ,,　,●
《1470》,《暦日2》,廿七／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1480》,《暦日0》,廿八／,みつのとのひつし,みつ,,　,くゑ日
《1490》,《暦日2》,廿九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1500》,《暦日0》,卅／,きのとのとり,たいら,,　,神よし めつもん 地火
《1510》,《節中》,芒種五月せついぬの八刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1520》,《月序》,五月,小,建,壬午,參宿　角　木よう
《1530》,《暦日2》,一／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1540》,《暦日0》,二／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1550》,《暦日2》,三／,つちのえね,やふる,火,　,●
《1560》,《暦日0》,四／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1570》,《暦日2》,五／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1580》,《暦日0》,六／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1590》,《暦日2》,七／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1600》,《暦日0》,八／,みつのとのみ,とつ,,天一天上,十し
《1610》,《暦日2》,九／,きのえむま,たつ,金,　,天しや よろつよし
《1620》,《暦日0》,十／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1630》,《暦日2》,十一／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1640》,《暦日0》,十二／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1650》,《暦日2》,十三／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1660》,《暦日0》,十四／,つちのとのい,とる,,　,ちう日
《1670》,《食記》,月蝕皆既
《1680》,《暦日2》,十五／,かのえね,やふる,土,　,●
《1690》,《暦日0》,十六／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1700》,《節中》,夏至五月中今暁うしの五刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1710》,《暦日2》,十七／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1720》,《暦日0》,十八／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1730》,《暦日2》,十九／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1740》,《暦日0》,廿／,きのとのみ,とつ,,　,十し
《1750》,《暦日2》,廿一／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1760》,《暦日0》,廿二／,ひのとのひつし,のそく,,　,神よし ふく日
《1770》,《暦日2》,廿三／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1780》,《暦日0》,廿四／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1790》,《暦日2》,廿五／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1800》,《暦日0》,廿六／,かのとのい,とる,,はんけしやう,神よし 大みやう 天おん 月とく ちう日  入学よし
《1810》,《暦日2》,廿七／,みつのえね,やふる,木,八せんのはしめ,●
《1820》,《暦日0》,廿八／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1830》,《暦日1》,廿九／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1840》,《月序》,六月,小,建,癸未,井宿　亢　金よう
《1850》,《暦日1》,一／,きのとのう,おさん,水,　,母倉 ちいみ 大くわ
《1860》,《食記》,日蝕一分
《1870》,《暦日1》,二／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1880》,《節中》,小暑六月せつたつの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1890》,《暦日1》,三／,ひのとのみ,ひらく,土,　,くゑ日 ちう日
《1900》,《暦日2》,四／,つちのえむま,とつ,火,ま日,●
《1910》,《暦日0》,五／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1920》,《暦日2》,六／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1930》,《暦日0》,七／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1940》,《暦日2》,八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1950》,《暦日0》,九／,みつのとのい,さたん,,八せんのおはり,ちう日
《1960》,《暦日2》,十／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1970》,《暦日0》,十一／,きのとのうし,やふる,,　,十し
《1980》,《暦日2》,十二／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1990》,《暦日0》,十三／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2000》,《暦日2》,十四／,つちのえたつ,おさん,木,とようむまの三刻ニ入,天おん 五む日 ふく日 めつもん
《2010》,《暦日0》,十五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2020》,《暦日2》,十六／,かのえむま,とつ,土,初伏,●
《2030》,《暦日0》,十七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2040》,《節中》,大暑六月中むまの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2050》,《暦日2》,十八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2060》,《暦日0》,十九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2070》,《暦日2》,廿／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2080》,《暦日0》,廿一／,きのとのい,さたん,,　,ちう日
《2090》,《暦日2》,廿二／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《2100》,《暦日0》,廿三／,ひのとのうし,やふる,,　,十し
《2110》,《暦日2》,廿四／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2120》,《暦日0》,廿五／,つちのとのう,なる,,　,大みやう 天おん 月とく ふく日 天火 らうしやく わうまう
《2130》,《暦日2》,廿六／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《2140》,《暦日0》,廿七／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2150》,《暦日2》,廿八／,みつのえむま,とつ,木,　,●
《2160》,《暦日0》,廿九／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2170》,《月序》,七月,小,建,甲申,鬼宿　氐　土よう
《2180》,《暦日2》,一／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2190》,《暦日0》,二／,きのとのとり,みつ,,　,神よし ちいみ
《2200》,《暦日1》,三／,ひのえいぬ,みつ,土,　,母倉 五む日
《2210》,《節中》,立秋七月せつとりの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2220》,《暦日1》,四／,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
《2230》,《暦日2》,五／,つちのえね,さたん,火,　, けんふく くさかりよし
《2240》,《暦日0》,六／,つちのとのうし,とる,,　,●
《2250》,《暦日2》,七／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《2260》,《暦日0》,八／,かのとのう,あやふ,,　,神よし
《2270》,《暦日2》,九／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2280》,《暦日0》,十／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2290》,《暦日2》,十一／,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
《2300》,《暦日0》,十二／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2310》,《暦日2》,十三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2320》,《暦日0》,十四／,ひのとのとり,のそく,,　,十し
《2330》,《暦日2》,十五／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2340》,《暦日0》,十六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2350》,《暦日2》,十七／,かのえね,さたん,土,　,さい下しき 神よし ふく日
《2360》,《暦日0》,十八／,かのとのうし,とる,,　,●
《2370》,《節中》,処暑七月中今夜ねの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2380》,《暦日2》,十九／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2390》,《暦日0》,廿／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2400》,《暦日2》,廿一／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《2410》,《暦日0》,廿二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2420》,《暦日2》,廿三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2430》,《暦日0》,廿四／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2440》,《暦日2》,廿五／,つちのえさる,たつ,土,　,天しや よろつよし
《2450》,《暦日0》,廿六／,つちのとのとり,のそく,,　,十し
《2460》,《暦日2》,廿七／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2470》,《暦日0》,廿八／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2480》,《暦日1》,廿九／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2490》,《月序》,八月,大,建,乙酉,柳宿　房　日よう
《2500》,《暦日1》,一／,みつのとのうし,とる,木,二百十日/ま日,●
《2510》,《暦日2》,二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2520》,《暦日0》,三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2530》,《暦日2》,四／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2540》,《暦日0》,五／,ひのとのみ,なる,,　,十し
《2550》,《節中》,白露八月せつ今暁とらの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2560》,《暦日2》,六／,つちのえむま,おさん,火,ま日,めつもん
《2570》,《暦日0》,七／,つちのとのひつし,ひらく,,　,●
《2580》,《暦日2》,八／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2590》,《暦日0》,九／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2600》,《暦日2》,十／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2610》,《暦日0》,十一／,みつのとのい,みつ,,二百廿日/八せんのおはり,ちう日  いちたちよし
《2620》,《暦日2》,十二／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2630》,《暦日0》,十三／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2640》,《暦日2》,十四／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2650》,《暦日0》,十五／,ひのとのう,やふる,,　,天おん  田かりよし
《2660》,《暦日2》,十六／,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
《2670》,《暦日0》,十七／,つちのとのみ,なる,,　,十し
《2680》,《暦日2》,十八／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2690》,《暦日0》,十九／,かのとのひつし,ひらく,,ひかんニなる,●
《2700》,《暦日1》,廿／,みつのえさる,とつ,金,　,神よし きしく 大みやう
