«1797-0000»,【 カンマ区切りテキスト形式です。】
«1797-1360»,«暦日2»,十六〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1797-1370»,«暦日0»,十七〳,ひのとのい,やふる,,　,大みやう ちう日
«1797-1380»,«暦日2»,十八〳,つちのえね,あやふ,火,　,わうまう  けんふくよし
«1797-1390»,«暦日0»,十九〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1797-1400»,«暦日2»,廿〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1797-1410»,«暦日0»,廿一〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1797-1420»,«暦日2»,廿二〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1797-1430»,«暦日0»,廿三〳,みつのとのみ,たつ,,天一天上,●
«1797-1440»,«暦日2»,廿四〳,きのえむま,のそく,金,　,天しや よろつよし
«1797-1450»,«暦日0»,廿五〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1797-1460»,«暦日1»,廿六〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1797-1470»,«節中»,小満四月中うの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1797-1480»,«暦日1»,廿七〳,ひのとのとり,さたん,火,　,十し
«1797-1490»,«暦日2»,廿八〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1797-1500»,«暦日0»,廿九〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1797-1510»,«月序»,五月,大,建,丙午,角宿　鬼　金よう
«1797-1520»,«暦日2»,一〳,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
«1797-1530»,«暦日0»,二〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1797-1540»,«暦日2»,三〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1797-1550»,«暦日0»,四〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1797-1560»,«暦日2»,五〳,きのえたつ,とつ,火,　,大みやう
«1797-1570»,«暦日0»,六〳,きのとのみ,たつ,,　,●
«1797-1580»,«暦日2»,七〳,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
«1797-1590»,«暦日0»,八〳,ひのとのひつし,みつ,,　,くゑ日
«1797-1600»,«暦日2»,九〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1797-1610»,«暦日0»,十〳,つちのとのとり,さたん,,　,十し
«1797-1620»,«暦日2»,十一〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1797-1630»,«暦日0»,十二〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1797-1640»,«節中»,芒種五月せつむまの一刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1797-1650»,«暦日2»,十三〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1797-1660»,«暦日0»,十四〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1797-1670»,«暦日1»,十五〳,きのえとら,なる,水,　,母倉 きこ  つめとりよし
«1797-1680»,«食記»,月帯そく皆既,　
«1797-1690»,«暦日1»,十六〳,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
«1797-1700»,«暦日2»,十七〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1797-1710»,«暦日0»,十八〳,ひのとのみ,とつ,,　,十し
«1797-1720»,«暦日2»,十九〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1797-1730»,«暦日0»,廿〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1797-1740»,«暦日2»,廿一〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1797-1750»,«暦日0»,廿二〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1797-1760»,«暦日2»,廿三〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1797-1770»,«暦日0»,廿四〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1797-1780»,«暦日2»,廿五〳,きのえね,やふる,金,　,●
«1797-1790»,«暦日0»,廿六〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1797-1800»,«暦日1»,廿七〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ わうまう  つめとりよし
«1797-1810»,«節中»,夏至五月中さるの六刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1797-1820»,«暦日1»,廿八〳,ひのとのう,おさん,火,　,天おん 母倉 ちいみ 大くわ ふく日
«1797-1830»,«暦日2»,廿九〳,つちのえたつ,ひらく,木,　,きしく 天おん 五む日  かまぬり 田うへよし
«1797-1840»,«暦日0»,卅〳,つちのとのみ,とつ,,　,十し
«1797-1850»,«月序»,六月,小,建,丁未,亢宿　星　日よう
«1797-1860»,«暦日2»,一〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1797-1870»,«暦日0»,二〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1797-1880»,«暦日2»,三〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1797-1890»,«暦日0»,四〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1797-1900»,«暦日2»,五〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1797-1910»,«暦日0»,六〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1797-1920»,«暦日2»,七〳,ひのえね,やふる,水,はんけしやう,●
«1797-1930»,«暦日0»,八〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1797-1940»,«暦日2»,九〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1797-1950»,«暦日0»,十〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1797-1960»,«暦日2»,十一〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1797-1970»,«暦日0»,十二〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1797-1980»,«節中»,小暑六月せついの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1797-1990»,«暦日2»,十三〳,みつのえむま,とつ,木,　,●
«1797-2000»,«暦日0»,十四〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1797-2010»,«暦日2»,十五〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1797-2020»,«暦日0»,十六〳,きのとのとり,みつ,,　,神よし ちいみ
«1797-2030»,«暦日2»,十七〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1797-2040»,«暦日0»,十八〳,ひのとのい,さたん,,　,大みやう ちう日
«1797-2050»,«暦日2»,十九〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1797-2060»,«暦日0»,廿〳,つちのとのうし,やふる,,　,十し
«1797-2070»,«暦日2»,廿一〳,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
«1797-2080»,«暦日0»,廿二〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1797-2090»,«暦日2»,廿三〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1797-2100»,«暦日0»,廿四〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1797-2110»,«暦日2»,廿五〳,きのえむま,とつ,金,とよう今暁うしの四刻ニ入,●
«1797-2120»,«暦日0»,廿六〳,きのとのひつし,たつ,,　,大みやう 五む日
«1797-2130»,«暦日2»,廿七〳,ひのえさる,のそく,火,　,神よし きしく
«1797-2140»,«暦日0»,廿八〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1797-2150»,«節中»,大暑六月中今暁とらの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1797-2160»,«暦日1»,廿九〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1797-2170»,«月序»,七月,小,建,戊申,氐宿　張　月よう
