《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0910》,《暦日2》,五／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0920》,《暦日0》,六／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0930》,《暦日2》,七／,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
《0940》,《暦日0》,八／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0950》,《暦日2》,九／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0960》,《暦日0》,十／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0970》,《暦日2》,十一／,ひのえたつ,のそく,土,ま日,●
《0980》,《暦日0》,十二／,ひのとのみ,みつ,,　,十し
《0990》,《暦日2》,十三／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1000》,《暦日0》,十四／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1010》,《暦日2》,十五／,かのえさる,とる,木,　,神よし 大みやう
《1020》,《暦日0》,十六／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1030》,《節中》,清明三月せつさるの七刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1040》,《暦日2》,十七／,みつのえいぬ,やふる,水,ま日,月とく
《1050》,《暦日0》,十八／,みつのとのい,あやふ,,八せんのおはり,●
《1060》,《暦日2》,十九／,きのえね,なる,金,　,くゑ日 きこ
《1070》,《暦日0》,廿／,きのとのうし,おさん,,　,十し
《1080》,《暦日2》,廿一／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1090》,《暦日0》,廿二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1100》,《暦日2》,廿三／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1110》,《暦日0》,廿四／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1120》,《暦日2》,廿五／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1130》,《暦日0》,廿六／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1140》,《暦日2》,廿七／,みつのえさる,さたん,金,　,大みやう くゑ日
《1150》,《暦日0》,廿八／,みつのとのとり,とる,,とよういぬの八刻ニ入,神よし 大みやう
《1160》,《暦日2》,廿九／,きのえいぬ,やふる,火,　, くさかりよし
《1170》,《暦日0》,卅／,きのとのい,あやふ,,　,●
《1180》,《月序》,三月,小,建,甲辰,畢宿　畢　月よう
《1190》,《暦日1》,一／,ひのえね,なる,水,　,きこ
《1200》,《節中》,穀雨三月中いの四刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1210》,《暦日1》,二／,ひのとのうし,おさん,水,　,十し
《1220》,《暦日2》,三／,つちのえとら,ひらく,土,　,天しや よろつよし
《1230》,《暦日0》,四／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1240》,《暦日2》,五／,かのえたつ,たつ,金,　,きしく くゑ日
《1250》,《暦日0》,六／,かのとのみ,のそく,,　,天おん 母倉 ちう日 わうまう
《1260》,《暦日2》,七／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1270》,《暦日0》,八／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1280》,《暦日2》,九／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1290》,《暦日0》,十／,きのとのとり,とる,,　,神よし  くさかりよし
《1300》,《暦日2》,十一／,ひのえいぬ,やふる,土,　,五む日
《1310》,《暦日0》,十二／,ひのとのい,あやふ,,八十八や,●
《1320》,《暦日2》,十三／,つちのえね,なる,火,　,母倉 きこ ふく日
《1330》,《暦日0》,十四／,つちのとのうし,おさん,,　,十し
《1340》,《暦日2》,十五／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1350》,《暦日0》,十六／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1360》,《暦日1》,十七／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1370》,《節中》,立夏四月せつ今暁とらの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1380》,《暦日1》,十八／,みつのとのみ,たつ,水,天一天上,●
《1390》,《暦日2》,十九／,きのえむま,のそく,金,　,天しや よろつよし
《1400》,《暦日0》,廿／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1410》,《暦日2》,廿一／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1420》,《暦日0》,廿二／,ひのとのとり,さたん,,　,十し
《1430》,《暦日2》,廿三／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1440》,《暦日0》,廿四／,つちのとのい,やふる,,　,くゑ日 ちう日 わうまう
《1450》,《暦日2》,廿五／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1460》,《暦日0》,廿六／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1470》,《暦日2》,廿七／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1480》,《暦日0》,廿八／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1490》,《暦日1》,廿九／,きのえたつ,とつ,火,　,大みやう
《1500》,《月序》,四月,小,建,乙巳,觜宿　觜　火よう
《1510》,《暦日1》,一／,きのとのみ,たつ,火,　,●
《1520》,《暦日2》,二／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1530》,《暦日0》,三／,ひのとのひつし,みつ,,　,さい下しき くゑ日
《1540》,《節中》,小満四月中たつの六刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1550》,《暦日2》,四／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1560》,《暦日0》,五／,つちのとのとり,さたん,,　,十し
《1570》,《暦日2》,六／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1580》,《暦日0》,七／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
