《1685-0000》,# カンマ区切りテキスト形式です。
《1685-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1685-2180》,《暦日2》,十二／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1685-2190》,《暦日0》,十三／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1685-2200》,《暦日2》,十四／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1685-2210》,《暦日0》,十五／,みつのとのとり,のそく,,　,十し
《1685-2220》,《暦日2》,十六／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1685-2230》,《暦日0》,十七／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1685-2240》,《暦日2》,十八／,ひのえね,さたん,水,　,きしく  田かりよし
《1685-2250》,《暦日0》,十九／,ひのとのうし,とる,,　,●
《1685-2260》,《暦日2》,廿／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1685-2270》,《暦日0》,廿一／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1685-2280》,《暦日2》,廿二／,かのえたつ,なる,金,七月中みの三刻,ちいみ ふく日  かといてよし
《1685-2290》,《暦日0》,廿三／,かのとのみ,おさん,,　,大くわ ちう日
《1685-2300》,《暦日2》,廿四／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1685-2310》,《暦日0》,廿五／,みつのとのひつし,とつ,,　
《1685-2320》,《暦日2》,廿六／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1685-2330》,《暦日0》,廿七／,きのとのとり,のそく,,　,十し
《1685-2340》,《暦日2》,廿八／,ひのえいぬ,みつ,土,　,五む日
《1685-2350》,《暦日0》,廿九／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1685-2360》,《暦日1》,卅／,つちのえね,さたん,火,　, けんふく くさかりよし
《1685-2370》,《月序》,八月,小,建,乙酉,房宿　斗　木よう
《1685-2380》,《暦日1》,一／,つちのとのうし,とる,火,　,●
《1685-2390》,《暦日2》,二／,かのえとら,やふる,木,　,さい下しき ふく日  つめとりよし
《1685-2400》,《暦日0》,三／,かのとのう,あやふ,,二百十日,神よし
《1685-2410》,《暦日2》,四／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1685-2420》,《暦日0》,五／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1685-2430》,《暦日2》,六／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1685-2440》,《暦日0》,七／,きのとのひつし,ひらく,,八月せつさるの初刻ニ入,●
《1685-2450》,《暦日2》,八／,ひのえさる,とつ,火,　,神よし
《1685-2460》,《暦日0》,九／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1685-2470》,《暦日2》,十／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1685-2480》,《暦日0》,十一／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1685-2490》,《暦日2》,十二／,かのえね,たいら,土,　,神よし 大くわ 地火
《1685-2500》,《暦日0》,十三／,かのとのうし,さたん,,二百廿日,神よし 五む日 ふく日  ものたち  つめとりよし
《1685-2510》,《暦日2》,十四／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1685-2520》,《暦日0》,十五／,みつのとのう,やふる,,　, くらたて 田かりよし
《1685-2530》,《暦日2》,十六／,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
《1685-2540》,《暦日0》,十七／,きのとのみ,なる,,　,十し
《1685-2550》,《暦日2》,十八／,ひのえむま,おさん,水,　,大みやう めつもん
《1685-2560》,《暦日0》,十九／,ひのとのひつし,ひらく,,　,●
《1685-2570》,《暦日2》,廿／,つちのえさる,とつ,土,社日,天しや よろつよし
《1685-2580》,《暦日0》,廿一／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1685-2590》,《暦日2》,廿二／,かのえいぬ,のそく,金,秋分八月中いぬの五刻,大みやう ちいみ
《1685-2600》,《暦日0》,廿三／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1685-2610》,《暦日2》,廿四／,みつのえね,たいら,木,八せんのはしめ/ひかんニなる,大くわ 地火 わうまう
《1685-2620》,《暦日0》,廿五／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1685-2630》,《暦日2》,廿六／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1685-2640》,《暦日0》,廿七／,きのとのう,やふる,,　,くゑ日 ふく日
《1685-2650》,《暦日2》,廿八／,ひのえたつ,あやふ,土,ま日,大みやう
《1685-2660》,《暦日0》,廿九／,ひのとのみ,なる,,　,十し
《1685-2670》,《月序》,九月,大,建,丙戌,心宿　牛　金よう
《1685-2680》,《暦日2》,一／,つちのえむま,おさん,火,ま日,めつもん
《1685-2690》,《暦日0》,二／,つちのとのひつし,ひらく,,　,●
《1685-2700》,《暦日2》,三／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1685-2710》,《暦日0》,四／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1685-2720》,《暦日2》,五／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1685-2730》,《暦日0》,六／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1685-2740》,《暦日2》,七／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1685-2750》,《暦日0》,八／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1685-2760》,《暦日2》,九／,ひのえとら,さたん,火,かん露九月せつうしの二刻ニ入,●
《1685-2770》,《暦日0》,十／,ひのとのう,とる,,　,神よし  田かりよし
《1685-2780》,《暦日2》,十一／,つちのえたつ,やふる,木,　,五む日 ふく日
《1685-2790》,《暦日0》,十二／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1685-2800》,《暦日2》,十三／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1685-2810》,《暦日0》,十四／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1685-2820》,《暦日2》,十五／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《1685-2830》,《暦日0》,十六／,みつのとのとり,とつ,,　,神よし 大みやう
《1685-2840》,《暦日2》,十七／,きのえいぬ,たつ,火,　,くゑ日
《1685-2850》,《暦日0》,十八／,きのとのい,のそく,,　,ちう日  田かりよし
《1685-2860》,《暦日2》,十九／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1685-2870》,《暦日0》,廿／,ひのとのうし,たいら,,　,十し
《1685-2880》,《暦日2》,廿一／,つちのえとら,さたん,土,とよううの三刻ニ入,●
《1685-2890》,《暦日0》,廿二／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1685-2900》,《暦日2》,廿三／,かのえたつ,やふる,金,　
《1685-2910》,《暦日0》,廿四／,かのとのみ,あやふ,,九月中うの七刻,ちいみ ちう日 下しきひつしの時
《1685-2920》,《暦日2》,廿五／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1685-2930》,《暦日0》,廿六／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1685-2940》,《暦日2》,廿七／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1685-2950》,《暦日0》,廿八／,きのとのとり,とつ,,　,神よし  田かりよし
《1685-2960》,《暦日2》,廿九／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1685-2970》,《暦日0》,卅／,ひのとのい,のそく,,　,大みやう ちう日
