«1792-0000»,【 カンマ区切りテキスト形式です。】
«1792-1280»,«暦日2»,十〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1792-1290»,«暦日0»,十一〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1792-1300»,«暦日2»,十二〳,かのえいぬ,やふる,金,八十八や,大みやう 天おん
«1792-1310»,«暦日0»,十三〳,かのとのい,あやふ,,　,●
«1792-1320»,«暦日2»,十四〳,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
«1792-1330»,«暦日0»,十五〳,みつのとのうし,おさん,,ま日,十し
«1792-1340»,«暦日1»,十六〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1792-1350»,«節中»,立夏四月せついぬの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1792-1360»,«暦日1»,十七〳,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
«1792-1370»,«暦日2»,十八〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1792-1380»,«暦日0»,十九〳,ひのとのみ,たつ,,　,●
«1792-1390»,«暦日2»,廿〳,つちのえむま,のそく,火,ま日,くゑ日
«1792-1400»,«暦日0»,廿一〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1792-1410»,«暦日2»,廿二〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1792-1420»,«暦日0»,廿三〳,かのとのとり,さたん,,　,十し
«1792-1430»,«暦日2»,廿四〳,みつのえいぬ,とる,水,ま日,ふく日
«1792-1440»,«暦日0»,廿五〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1792-1450»,«暦日2»,廿六〳,きのえね,あやふ,金,　,天おん
«1792-1460»,«暦日0»,廿七〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1792-1470»,«暦日2»,廿八〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1792-1480»,«暦日0»,廿九〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1792-1490»,«暦日1»,卅〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1792-1500»,«月序»,四月,小,建,乙巳,柳宿　危　月よう
«1792-1510»,«暦日1»,一〳,つちのとのみ,たつ,木,　,●
«1792-1520»,«暦日1»,二〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1792-1530»,«節中»,小満四月中今暁うしの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1792-1540»,«暦日1»,三〳,かのとのひつし,みつ,土,　,大みやう くゑ日
«1792-1550»,«暦日2»,四〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1792-1560»,«暦日0»,五〳,みつのとのとり,さたん,,　,十し
«1792-1570»,«暦日2»,六〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1792-1580»,«暦日0»,七〳,きのとのい,やふる,,　,月とく ちう日
«1792-1590»,«暦日2»,八〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1792-1600»,«暦日0»,九〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
«1792-1610»,«暦日2»,十〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1792-1620»,«暦日0»,十一〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1792-1630»,«暦日2»,十二〳,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
«1792-1640»,«暦日0»,十三〳,かのとのみ,たつ,,　,●
«1792-1650»,«暦日2»,十四〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1792-1660»,«暦日0»,十五〳,みつのとのひつし,みつ,,　,くゑ日
«1792-1670»,«暦日2»,十六〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1792-1680»,«暦日0»,十七〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1792-1690»,«節中»,芒種五月せつうの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1792-1700»,«暦日2»,十八〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1792-1710»,«暦日0»,十九〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1792-1720»,«暦日2»,廿〳,つちのえね,やふる,火,　,●
«1792-1730»,«暦日0»,廿一〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1792-1740»,«暦日2»,廿二〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1792-1750»,«暦日0»,廿三〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1792-1760»,«暦日2»,廿四〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1792-1770»,«暦日0»,廿五〳,みつのとのみ,とつ,,天一天上,十し
«1792-1780»,«暦日2»,廿六〳,きのえむま,たつ,金,　,天しや よろつよし
«1792-1790»,«暦日0»,廿七〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1792-1800»,«暦日2»,廿八〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1792-1810»,«暦日0»,廿九〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1792-1820»,«月序»,五月,大,建,丙午,星宿　室　火よう
«1792-1830»,«暦日2»,一〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1792-1840»,«暦日0»,二〳,つちのとのい,とる,,　,神よし ちう日
«1792-1850»,«暦日1»,三〳,かのえね,やふる,土,　,●
«1792-1860»,«節中»,夏至五月中むまの二刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1792-1870»,«暦日1»,四〳,かのとのうし,あやふ,土,　,神よし 月とく 五む日  つめとりよし
«1792-1880»,«暦日2»,五〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1792-1890»,«暦日0»,六〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1792-1900»,«暦日2»,七〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1792-1910»,«暦日0»,八〳,きのとのみ,とつ,,　,十し
«1792-1920»,«暦日2»,九〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1792-1930»,«暦日0»,十〳,ひのとのひつし,のそく,,　,神よし ふく日
«1792-1940»,«暦日2»,十一〳,つちのえさる,みつ,土,　,神よし きしく  入学よし
«1792-1950»,«暦日0»,十二〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1792-1960»,«暦日2»,十三〳,かのえいぬ,さたん,金,はんけしやう,大みやう 天おん  かといてよし
«1792-1970»,«暦日0»,十四〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1792-1980»,«暦日2»,十五〳,みつのえね,やふる,木,八せんのはしめ,●
«1792-1990»,«暦日0»,十六〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1792-2000»,«暦日2»,十七〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1792-2010»,«暦日0»,十八〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1792-2020»,«節中»,小暑六月せつさるの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1792-2030»,«暦日2»,十九〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1792-2040»,«暦日0»,廿〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1792-2050»,«暦日2»,廿一〳,つちのえむま,とつ,火,ま日,●
«1792-2060»,«暦日0»,廿二〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1792-2070»,«暦日2»,廿三〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1792-2080»,«暦日0»,廿四〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1792-2090»,«暦日2»,廿五〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1792-2100»,«暦日0»,廿六〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1792-2110»,«暦日2»,廿七〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1792-2120»,«暦日0»,廿八〳,きのとのうし,やふる,,　,十し
«1792-2130»,«暦日2»,廿九〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1792-2140»,«暦日0»,卅〳,ひのとのう,なる,,とよういの初刻ニ入,神よし 天おん 天火 らうしやく
«1792-2150»,«月序»,六月,大,建,丁未,張宿　奎　木よう
«1792-2160»,«暦日2»,一〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1792-2170»,«暦日0»,二〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1792-2180»,«暦日1»,三〳,かのえむま,とつ,土,中伏,●
«1792-2190»,«節中»,大暑六月中いの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1792-2200»,«暦日1»,四〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1792-2210»,«暦日2»,五〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1792-2220»,«暦日0»,六〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1792-2230»,«暦日2»,七〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1792-2240»,«暦日0»,八〳,きのとのい,さたん,,　,ちう日
«1792-2250»,«暦日2»,九〳,ひのえね,とる,水,　,きしく きこ 下しきたつの時
«1792-2260»,«暦日0»,十〳,ひのとのうし,やふる,,　,十し
«1792-2270»,«暦日2»,十一〳,つちのえとら,あやふ,土,　,ふく日 わうまう  たねまき  つめとりよし
«1792-2280»,«暦日0»,十二〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1792-2290»,«暦日2»,十三〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1792-2300»,«暦日0»,十四〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1792-2310»,«暦日2»,十五〳,みつのえむま,とつ,木,　,●
«1792-2320»,«暦日0»,十六〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1792-2330»,«暦日2»,十七〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1792-2340»,«暦日0»,十八〳,きのとのとり,みつ,,　,神よし ちいみ
«1792-2350»,«暦日1»,十九〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1792-2360»,«節中»,立秋七月せつ今暁とらの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1792-2370»,«暦日1»,廿〳,ひのとのい,たいら,土,　,大みやう 月とく ちう日 めつもん 地火
«1792-2380»,«暦日2»,廿一〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1792-2390»,«暦日0»,廿二〳,つちのとのうし,とる,,　,●
«1792-2400»,«暦日2»,廿三〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1792-2410»,«暦日0»,廿四〳,かのとのう,あやふ,,　,神よし
«1792-2420»,«暦日2»,廿五〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1792-2430»,«暦日0»,廿六〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1792-2440»,«暦日2»,廿七〳,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
«1792-2450»,«暦日0»,廿八〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1792-2460»,«暦日2»,廿九〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1792-2470»,«暦日0»,卅〳,ひのとのとり,のそく,,　,十し
«1792-2480»,«月序»,七月,小,建,戊申,翼宿　胃　土よう
«1792-2490»,«暦日2»,一〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1792-2500»,«暦日0»,二〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1792-2510»,«暦日2»,三〳,かのえね,さたん,土,　,神よし ふく日
«1792-2520»,«暦日0»,四〳,かのとのうし,とる,,　,●
«1792-2530»,«節中»,処暑七月中たつの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1792-2540»,«暦日2»,五〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1792-2550»,«暦日0»,六〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1792-2560»,«暦日2»,七〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1792-2570»,«暦日0»,八〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1792-2580»,«暦日2»,九〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1792-2590»,«暦日0»,十〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1792-2600»,«暦日2»,十一〳,つちのえさる,たつ,土,　,天しや よろつよし
«1792-2610»,«暦日0»,十二〳,つちのとのとり,のそく,,　,十し
«1792-2620»,«暦日2»,十三〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1792-2630»,«暦日0»,十四〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1792-2640»,«暦日2»,十五〳,みつのえね,さたん,木,二百十日|八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1792-2650»,«暦日0»,十六〳,みつのとのうし,とる,,ま日,●
«1792-2660»,«暦日2»,十七〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1792-2670»,«暦日0»,十八〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1792-2680»,«暦日1»,十九〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉
«1792-2690»,«節中»,白露八月せつひつしの三刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1792-2700»,«暦日1»,廿〳,ひのとのみ,なる,土,　,十し
«1792-2710»,«暦日2»,廿一〳,つちのえむま,おさん,火,ま日,めつもん
«1792-2720»,«暦日0»,廿二〳,つちのとのひつし,ひらく,,　,●
«1792-2730»,«暦日2»,廿三〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1792-2740»,«暦日0»,廿四〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1792-2750»,«暦日2»,廿五〳,みつのえいぬ,のそく,水,二百廿日|ま日,母倉 ちいみ  たねまきよし
«1792-2760»,«暦日0»,廿六〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1792-2770»,«暦日2»,廿七〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
