《1743-0000》,# カンマ区切りテキスト形式です。
《1743-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1743-0020》,# ・表の区画内での改行は“/”で表記します。
《1743-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1743-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1743-0050》,# 外部リンク
《1743-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/205 ～ 210
《1743-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1743g　(GitHub上データを表成型)
《1743-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1743h　(翻刻編集データを表成型 - 未実装)
《1743-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1743-0100》,《版元》,出版地○○,出版元□□□,　
《1743-0830》,《節中》,春分二月中翌うの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1743-0840》,《暦日1》,廿九／,みつのとのうし,ひらく,木,ま日, つめとりよし
《1743-0850》,《暦日1》,卅／,きのえとら,とつ,水,ひかんニなる,きこ  やたて  つめとりよし
《1743-0860》,《月序》,三月,小,建,丙辰,鬼宿　尾　火よう
《1743-0870》,《暦日1》,一／,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく
《1743-0880》,《暦日2》,二／,ひのえたつ,のそく,土,ま日,●
《1743-0890》,《暦日0》,三／,ひのとのみ,みつ,,　,十し
《1743-0900》,《暦日2》,四／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1743-0910》,《暦日0》,五／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1743-0920》,《暦日2》,六／,かのえさる,とる,木,　,神よし 大みやう
《1743-0930》,《暦日0》,七／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1743-0940》,《暦日2》,八／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1743-0950》,《暦日0》,九／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1743-0960》,《暦日2》,十／,きのえね,おさん,金,　,めつもん
《1743-0970》,《暦日0》,十一／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1743-0980》,《暦日2》,十二／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1743-0990》,《暦日0》,十三／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1743-1000》,《節中》,清明三月せつむまの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1743-1010》,《暦日2》,十四／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1743-1020》,《暦日0》,十五／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1743-1030》,《暦日2》,十六／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1743-1040》,《暦日0》,十七／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1743-1050》,《暦日2》,十八／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1743-1060》,《暦日0》,十九／,みつのとのとり,とる,,　,神よし 大みやう
《1743-1070》,《暦日2》,廿／,きのえいぬ,やふる,火,　, くさかりよし
《1743-1080》,《暦日0》,廿一／,きのとのい,あやふ,,　,●
《1743-1090》,《暦日2》,廿二／,ひのえね,なる,水,　,きこ
《1743-1100》,《暦日0》,廿三／,ひのとのうし,おさん,,　,十し
《1743-1110》,《暦日2》,廿四／,つちのえとら,ひらく,土,　,天しや よろつよし
《1743-1120》,《暦日0》,廿五／,つちのとのう,とつ,,とようさるの二刻ニ入,神よし 大みやう ふく日
《1743-1130》,《暦日2》,廿六／,かのえたつ,たつ,金,　,くゑ日
《1743-1140》,《暦日0》,廿七／,かのとのみ,のそく,,　,ちう日
《1743-1150》,《暦日1》,廿八／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1743-1160》,《節中》,穀雨三月中さるの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1743-1170》,《暦日1》,廿九／,みつのとのひつし,たいら,木,　,めつもん 地火
《1743-1180》,《月序》,四月,大,建,丁巳,柳宿　箕　水よう
《1743-1190》,《暦日2》,一／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1743-1200》,《暦日0》,二／,きのとのとり,とる,,　,神よし  くさかりよし
《1743-1210》,《暦日2》,三／,ひのえいぬ,やふる,土,　,五む日
《1743-1220》,《暦日0》,四／,ひのとのい,あやふ,,　,●
《1743-1230》,《暦日2》,五／,つちのえね,なる,火,　,きこ ふく日
《1743-1240》,《暦日0》,六／,つちのとのうし,おさん,,　,十し
《1743-1250》,《暦日2》,七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1743-1260》,《暦日0》,八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1743-1270》,《暦日2》,九／,みつのえたつ,たつ,水,　,大みやう 五む日
《1743-1280》,《暦日0》,十／,みつのとのみ,のそく,,八十八や/天一天上,ちう日  けんふくよし
《1743-1290》,《暦日2》,十一／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1743-1300》,《暦日0》,十二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1743-1310》,《暦日2》,十三／,ひのえさる,さたん,火,　,くゑ日
《1743-1320》,《暦日0》,十四／,ひのとのとり,さたん,,　,十し
《1743-1330》,《節中》,立夏四月せついの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1743-1340》,《暦日1》,十五／,つちのえいぬ,とる,木,　
《1743-1350》,《食記》,月そく皆つくる
《1743-1360》,《暦日1》,十六／,つちのとのい,やふる,木,　,くゑ日 ちう日
《1743-1370》,《暦日2》,十七／,かのえね,あやふ,土,　,さい下しき 神よし きしく  わたまし たねまきよし
《1743-1380》,《暦日0》,十八／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1743-1390》,《暦日2》,十九／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1743-1400》,《暦日0》,廿／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1743-1410》,《暦日2》,廿一／,きのえたつ,とつ,火,　,大みやう
《1743-1420》,《暦日0》,廿二／,きのとのみ,たつ,,　,●
《1743-1430》,《暦日2》,廿三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1743-1440》,《暦日0》,廿四／,ひのとのひつし,みつ,,　,くゑ日
《1743-1450》,《暦日2》,廿五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1743-1460》,《暦日0》,廿六／,つちのとのとり,さたん,,　,十し
《1743-1470》,《暦日2》,廿七／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1743-1480》,《暦日0》,廿八／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1743-1490》,《暦日1》,廿九／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1743-1500》,《節中》,小満四月中翌とらの初刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1743-1510》,《暦日1》,卅／,みつのとのうし,なる,木,ま日,きこ  つめとりよし
《1743-1520》,《月序》,閏四月,小,隨節用之,牛　金よう
《1743-1530》,《暦日2》,一／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1743-1540》,《暦日0》,二／,きのとのう,ひらく,,　,神よし  さひらきよし
《1743-1550》,《暦日2》,三／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1743-1560》,《暦日0》,四／,ひのとのみ,たつ,,　,●
《1743-1570》,《暦日2》,五／,つちのえむま,のそく,火,ま日,くゑ日
《1743-1580》,《暦日0》,六／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1743-1590》,《暦日2》,七／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1743-1600》,《暦日0》,八／,かのとのとり,さたん,,　,十し
《1743-1610》,《暦日2》,九／,みつのえいぬ,とる,水,ま日,ふく日
《1743-1620》,《暦日0》,十／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1743-1630》,《暦日2》,十一／,きのえね,あやふ,金,　
《1743-1640》,《暦日0》,十二／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1743-1650》,《暦日2》,十三／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1743-1660》,《暦日0》,十四／,ひのとのう,ひらく,,　,神よし  わたましよし
《1743-1670》,《暦日1》,十五／,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
《1743-1680》,《節中》,芒種五月せつたつの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1743-1690》,《暦日1》,十六／,つちのとのみ,とつ,木,　,十し
